"pathway","log2FC","pvalue","FDR","category","direction"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_caccae",0.602006847119567,2.76482587037069e-08,2.23558867951242e-07,"Insulin_resistance","T2D_enriched"
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I",0.593855305864526,1.924047183296e-14,2.74303305671213e-13,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.564810020137167,0.00070017858868949,0.00261601207187953,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.559619879366878,0.00129822114012001,0.00453749227522591,"Insulin_resistance","T2D_enriched"
"PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.515974903162166,0.00221228996821117,0.00717669515136768,"Insulin_resistance","T2D_enriched"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.506230058224502,0.00239736841443565,0.00767083668143195,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis",0.505369280055872,1.96702391344692e-10,2.15279839416135e-09,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.505369280055872,1.96702391344692e-10,2.15279839416135e-09,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_caccae",0.501207609398441,2.94631639300314e-05,0.000149523831935312,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.49469611018691,0.000424092959436564,0.00166789372613255,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.49469611018691,0.000424092959436564,0.00166789372613255,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Parabacteroides.s__Parabacteroides_distasonis",0.491581470855303,2.09635795807322e-09,2.01902564228652e-08,"Insulin_resistance","T2D_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Gemmiger.s__Gemmiger_formicilis",-0.49109478716,1.63567811019518e-05,8.68753545292391e-05,"Insulin_resistance","Control_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis",-0.480521583175547,8.73097620733767e-08,6.39190048692592e-07,"Insulin_resistance","Control_enriched"
"PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_caccae",0.480278134997451,0.00135596788449485,0.004678952875319,"Insulin_resistance","T2D_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.478616245733047,0.00236452770158338,0.00759100967308323,"Insulin_resistance","T2D_enriched"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Bacteroides.s__Bacteroides_caccae",0.478350780525378,0.00154697881025699,0.00524617070708435,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Parabacteroides.s__Parabacteroides_distasonis",0.474775286940802,1.64475330921534e-07,1.13148584795862e-06,"Insulin_resistance","T2D_enriched"
"PWY-6936: seleno-amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.471808656086097,2.88734620640459e-08,2.31736267751065e-07,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron",0.468405868702207,0.0140226446174655,0.0339520345095506,"Insulin_resistance","T2D_enriched"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.465390399001428,2.34451212860737e-09,2.23813118180272e-08,"Insulin_resistance","T2D_enriched"
"PWY-5103: L-isoleucine biosynthesis III|g__Parabacteroides.s__Parabacteroides_distasonis",0.465198118619131,1.80344728864195e-09,1.76039201553473e-08,"Insulin_resistance","T2D_enriched"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Gemmiger.s__Gemmiger_formicilis",-0.462163307229438,2.89746923637493e-05,0.000147390043080387,"Insulin_resistance","Control_enriched"
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.459338359830728,1.90604528970606e-06,1.11032261903038e-05,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_sp_CAG_180",0.45789722980112,0.000100142805080562,0.000454145860539762,"Insulin_resistance","T2D_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Parabacteroides.s__Parabacteroides_distasonis",0.456199793768699,3.35556389110133e-09,3.14783850736649e-08,"Insulin_resistance","T2D_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Roseburia.s__Roseburia_inulinivorans",0.456008849073685,0.000120737400003215,0.000539459682076221,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_sp_CAG_180",0.451991063493493,0.000104090797646575,0.00046894960187137,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eubacterium.s__Eubacterium_sp_CAG_180",0.451991063493493,0.000104090797646575,0.00046894960187137,"Insulin_resistance","T2D_enriched"
"PWY-5103: L-isoleucine biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis",-0.448514685768077,4.01584754178398e-05,0.000197780491432861,"Insulin_resistance","Control_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_caccae",0.445120915629812,0.00196323747719057,0.0064753966713424,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_caccae",0.442039587995315,0.000953729256851432,0.0034618614733619,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_caccae",0.442039587995315,0.000953729256851432,0.0034618614733619,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_caccae",0.441790130832908,0.00416996548490544,0.0124125208870743,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.427831679535772,3.81004794187274e-09,3.54350810731254e-08,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis",-0.424078997863337,0.00131012829672475,0.00456438588264073,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Gemmiger.s__Gemmiger_formicilis",-0.424078997863337,0.00131012829672475,0.00456438588264073,"Insulin_resistance","Control_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Dialister.s__Dialister_invisus",-0.410509941912672,0.00706157794733765,0.0194440145004837,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Dialister.s__Dialister_invisus",-0.410509941912672,0.00706157794733765,0.0194440145004837,"Insulin_resistance","Control_enriched"
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis|g__Roseburia.s__Roseburia_inulinivorans",0.409848634544774,0.00012652598950446,0.000560699016883774,"Insulin_resistance","T2D_enriched"
"PWY-5103: L-isoleucine biosynthesis III|g__Roseburia.s__Roseburia_inulinivorans",0.404305297047062,0.00013398043005993,0.000588916007991618,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis",-0.403329036942348,0.00539553085127682,0.0154862455029363,"Insulin_resistance","Control_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Barnesiella.s__Barnesiella_intestinihominis",-0.391092839083139,0.0154490014734644,0.0365879630524562,"Insulin_resistance","Control_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_inulinivorans",0.390449120357824,0.00214927455372384,0.00698272557409229,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans",0.384021122154683,0.00045965519290096,0.00179149784715176,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.381825508054055,3.39008571074981e-11,3.89493124995722e-10,"Insulin_resistance","Control_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Dialister.s__Dialister_invisus",-0.379006585738204,0.00539255658922105,0.0154862455029363,"Insulin_resistance","Control_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Dialister.s__Dialister_invisus_CAG_218",-0.378987094579252,0.00489281517787596,0.0142701621675063,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Dialister.s__Dialister_invisus_CAG_218",-0.378987094579252,0.00489281517787596,0.0142701621675063,"Insulin_resistance","Control_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.372512456134424,8.01374884624548e-10,8.15295481211923e-09,"Insulin_resistance","Control_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Ruminococcus.s__Ruminococcus_bromii",0.367505975879135,0.0028537059489556,0.00891063514609048,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.36440219777707,2.14338002326001e-10,2.32235225520223e-09,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.36440219777707,2.14338002326001e-10,2.32235225520223e-09,"Insulin_resistance","Control_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Dialister.s__Dialister_invisus_CAG_218",-0.358051404185128,0.00457738166600468,0.0134771549867284,"Insulin_resistance","Control_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_fragilis",0.356756227576721,1.24524518535005e-07,8.78972741580962e-07,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Roseburia.s__Roseburia_inulinivorans",0.346925107717917,0.00254068831680665,0.0080610125659151,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.344000900038109,0.000313418261776562,0.00127186774020564,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.344000900038109,0.000313418261776562,0.00127186774020564,"Insulin_resistance","Control_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans",0.343876794303904,0.00240355242579247,0.00767083668143195,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Roseburia.s__Roseburia_inulinivorans",0.343876794303904,0.00240355242579247,0.00767083668143195,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Dialister.s__Dialister_invisus",-0.341569080058148,0.00578257250195933,0.0163801759630665,"Insulin_resistance","Control_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.339973810886114,0.00198957769828145,0.00651271128727477,"Insulin_resistance","Control_enriched"
"PWY-6936: seleno-amino acid biosynthesis|unclassified",0.335140216272754,3.46994737474097e-07,2.25807085917828e-06,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Ruminococcus.s__Ruminococcus_bromii",0.333815153870429,0.0143960801361929,0.0347439905104602,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.330133309407447,0.00359207112543182,0.0108563711698895,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_fragilis",0.319622176055162,0.00324878400021921,0.00992964023762344,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.315269779478168,0.000896436858604409,0.00328693514821616,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis",0.314727146188067,6.38553873903062e-05,0.000305462747184975,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Ruminococcus.s__Ruminococcus_bromii",0.311268674235059,0.0112914542100839,0.0283201172144119,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Ruminococcus.s__Ruminococcus_bromii",0.311268674235059,0.0112914542100839,0.0283201172144119,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Alistipes.s__Alistipes_putredinis",-0.307614639137835,0.00939776481015312,0.024272891947082,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Alistipes.s__Alistipes_putredinis",-0.307614639137835,0.00939776481015312,0.024272891947082,"Insulin_resistance","Control_enriched"
"PWY-5104: L-isoleucine biosynthesis IV|unclassified",0.303201595308293,3.17886186798546e-07,2.08114612324003e-06,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.302792883665207,9.72215484042143e-05,0.000443534937667226,"Insulin_resistance","Control_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_fragilis_CAG_47",0.300757934283864,8.60630338387774e-05,0.000401072245868023,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Lachnospira.s__Lachnospira_pectinoschiza",-0.295580072362708,0.0162208932085973,0.0380857390192451,"Insulin_resistance","Control_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_putredinis_CAG_67",-0.28490720235526,0.00549901929586498,0.015700118029513,"Insulin_resistance","Control_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_fragilis",0.282257526376437,0.00641009233175804,0.0178667958440107,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_fragilis",0.282257526376437,0.00641009233175804,0.0178667958440107,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.281668840639818,0.00311132015824084,0.00959065545221607,"Insulin_resistance","T2D_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Roseburia.s__Roseburia_inulinivorans_CAG_15",0.281668840639818,0.00311132015824084,0.00959065545221607,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Alistipes.s__Alistipes_putredinis",-0.27221886566924,0.0156350900727592,0.0369479173257025,"Insulin_resistance","Control_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis",0.271934084005328,0.00142292082501269,0.004863516447638,"Insulin_resistance","T2D_enriched"
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)|g__Bacteroides.s__Bacteroides_uniformis",0.271496577143674,0.000811994176231653,0.00300600845181166,"Insulin_resistance","T2D_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_eligens",-0.250935272223233,0.00556063851161169,0.0158343017801084,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eubacterium.s__Eubacterium_eligens",-0.250935272223233,0.00556063851161169,0.0158343017801084,"Insulin_resistance","Control_enriched"
"ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.249469822036978,0.02205874749165,0.048432818073396,"Insulin_resistance","Control_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified",-0.243845250989158,2.02312167134052e-05,0.000104882886645811,"Insulin_resistance","Control_enriched"
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)",0.243531292000061,6.47200713393759e-09,5.72442426907867e-08,"Insulin_resistance","T2D_enriched"
"VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_wexlerae",0.232317547705671,0.0117434233707006,0.0292169901771622,"Insulin_resistance","T2D_enriched"
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.223867113123865,0.00024056811516404,0.00101225457390384,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Eubacterium.s__Eubacterium_eligens",-0.223012421238848,0.011646482389293,0.0290424940593763,"Insulin_resistance","Control_enriched"
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.214454109316779,0.0101818999965522,0.0258969217048457,"Insulin_resistance","Control_enriched"
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.214454109316779,0.0101818999965522,0.0258969217048457,"Insulin_resistance","Control_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis",0.214275502860176,0.00624763980248662,0.0175370925543893,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.213173889126328,0.00141135994528871,0.00483926740734278,"Insulin_resistance","T2D_enriched"
"PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis_CAG_3",0.211086282243014,0.000944023902889719,0.00343815092027231,"Insulin_resistance","T2D_enriched"
"PWY-5104: L-isoleucine biosynthesis IV",0.197784195991239,0.000473636418817173,0.0018328037849586,"Insulin_resistance","T2D_enriched"
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.197318740226993,0.013875645129629,0.0336336946262931,"Insulin_resistance","Control_enriched"
"PWY-5103: L-isoleucine biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis",0.188156528659034,0.0152570016188575,0.0363767248627844,"Insulin_resistance","T2D_enriched"
