"Species","Pathway_clean","rho","p","FDR","Category"
"UNINTEGRATED.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale","VALSYN PWY  L valine biosynthesis",0.9382575636435,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.938047254218002,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 5097  L lysine biosynthesis VI",0.935676974742393,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.934146151675553,0,0,"Other metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.934032014420433,0,0,"Energy metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","VALSYN PWY  L valine biosynthesis",0.934006967274335,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.933911862769428,0,0,"Other metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 5686  UMP biosynthesis",0.933108900960572,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Dialister.s__Dialister_invisus","PWY 2942  L lysine biosynthesis III",0.932238453791234,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.931528394427577,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.931127407785693,0,0,"Energy metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.929978597923911,0,0,"Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.929821102451179,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.928513182123522,0,0,"Energy metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","VALSYN PWY  L valine biosynthesis",0.92678649444547,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.926448716586306,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","VALSYN PWY  L valine biosynthesis",0.923063966515821,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.922973068649739,0,0,"Other metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.921799388587195,0,0,"Other metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.9212301168621,0,0,"Energy metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.920654478536929,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.919996073179156,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.918723255690593,0,0,"Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_sp_CAG_180","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.918349909520153,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.91706339978905,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.911905238945941,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.909140596987004,0,0,"Energy metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","VALSYN PWY  L valine biosynthesis",0.909002652284548,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","VALSYN PWY  L valine biosynthesis",0.906030047172908,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.905230180605569,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.90499883244254,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.90499883244254,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","VALSYN PWY  L valine biosynthesis",0.904624433598337,0,0,"Amino acid metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I",0.894885606149279,0,0,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","VALSYN PWY  L valine biosynthesis",0.88374448860711,1.49071142771266e-315,1.78699032397055e-313,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","VALSYN PWY  L valine biosynthesis",0.880302852963944,6.54954989036102e-310,7.69931280982375e-308,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.877531257042417,1.71977796487261e-305,1.8991560180572e-303,"Other metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 2942  L lysine biosynthesis III",0.875717955361146,1.17226453842765e-302,1.27141858063632e-300,"Amino acid metabolism"
"UNINTEGRATED.g__Gemmiger.s__Gemmiger_formicilis","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.873527453742113,2.71206194830821e-299,2.88985267603064e-297,"Energy metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","COA PWY  coenzyme A biosynthesis I",0.870892771157706,2.49802020391243e-295,2.61588655951083e-293,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.870788201711034,3.57382141102861e-295,3.72106285316299e-293,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 5097  L lysine biosynthesis VI",0.867288676788086,4.80159550936261e-290,4.86054843200534e-288,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.866902191004197,1.73287502985966e-289,1.73487450104796e-287,"Energy metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 5097  L lysine biosynthesis VI",0.864997271884712,9.13376889346856e-287,8.85246824510057e-285,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","COA PWY  coenzyme A biosynthesis I",0.863860819173812,3.67075949655556e-285,3.53888406279041e-283,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 6700  queuosine biosynthesis",0.863277218511268,2.41478509629752e-284,2.3036544104522e-282,"Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","COA PWY  coenzyme A biosynthesis I",0.863243920430923,2.68808662159174e-284,2.55102220479287e-282,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 5686  UMP biosynthesis",0.863058355406816,4.88333457773676e-284,4.61032328191407e-282,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 5686  UMP biosynthesis",0.859739926677535,1.8277526649323e-279,1.68199400544098e-277,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6700  queuosine biosynthesis",0.858127844079137,2.76254702766352e-277,2.5042969846297e-275,"Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 5097  L lysine biosynthesis VI",0.857966939291662,4.54316187770374e-277,4.07787943712512e-275,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","VALSYN PWY  L valine biosynthesis",0.857765756649857,8.45500166492943e-277,7.51505294325264e-275,"Amino acid metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I",0.857379004765334,2.78307189281426e-276,2.43799773841196e-274,"Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 5097  L lysine biosynthesis VI",0.855008795520796,3.82340545717751e-273,3.21042722743002e-271,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.854968971664255,4.3121553814024e-273,3.58775265774124e-271,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.853925437347397,9.95708790037349e-272,8.24673175603206e-270,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 6700  queuosine biosynthesis",0.852762162057195,3.20287258212477e-270,2.617019790085e-268,"Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 5097  L lysine biosynthesis VI",0.851683359270806,7.79650939402889e-269,6.31378656304891e-267,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","COA PWY  coenzyme A biosynthesis I",0.851630191697167,9.1188510191874e-269,7.35197276197405e-267,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 5686  UMP biosynthesis",0.851408326532002,1.75218184794183e-268,1.40645398464088e-266,"Nucleotide metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 2942  L lysine biosynthesis III",0.851282645520036,2.53540940009245e-268,2.01736657987269e-266,"Amino acid metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","COA PWY  coenzyme A biosynthesis I",0.849601611432464,3.43738079688904e-266,2.66521342553682e-264,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 5686  UMP biosynthesis",0.848697828103472,4.69681215847227e-265,3.59582413191274e-263,"Nucleotide metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","COA PWY  coenzyme A biosynthesis I",0.848665984801646,5.148463754186e-265,3.92511121610975e-263,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6609  adenine and adenosine salvage III",0.84841161159079,1.0712141977001e-264,8.13274745678898e-263,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6700  queuosine biosynthesis",0.848336367750694,1.33011023223005e-264,1.00564060338024e-262,"Other metabolism"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.847508899191203,1.42686952521989e-263,1.0699172682729e-261,"Energy metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.846113093148431,7.56557245549696e-262,5.6266243147596e-260,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.845429315947989,5.216309364652e-261,3.84803129284713e-259,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6700  queuosine biosynthesis",0.843863044313667,4.19596911039548e-259,3.03391877621096e-257,"Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6700  queuosine biosynthesis",0.843667620038957,7.2294087557309e-259,5.20660304103449e-257,"Other metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.841514491866921,2.76023386430887e-256,1.93439312467584e-254,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 6609  adenine and adenosine salvage III",0.840985833395148,1.17209299546355e-255,8.18264615721891e-254,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.840175766537865,1.06371230414778e-254,7.28642928341229e-253,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.839987745764323,1.77167317708668e-254,1.20905082246054e-252,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.839978329581301,1.81748935616921e-254,1.235689311894e-252,"Energy metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.839470935954904,7.17635954281214e-254,4.84297952702148e-252,"Nucleotide metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6609  adenine and adenosine salvage III",0.839329930862884,1.05022883848674e-253,7.06133567013537e-252,"Nucleotide metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.839051713593002,2.2239529301054e-253,1.48434601976009e-251,"Nucleotide metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","COA PWY  coenzyme A biosynthesis I",0.838497276982964,9.87686063232174e-253,6.54422827569216e-251,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.838165558210637,2.40348291827575e-252,1.58100585754161e-250,"Nucleotide metabolism"
"UNINTEGRATED.g__Parabacteroides.s__Parabacteroides_distasonis","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.838165558210637,2.40348291827575e-252,1.58100585754161e-250,"Nucleotide metabolism"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","VALSYN PWY  L valine biosynthesis",0.836888558188834,7.23666269326671e-251,4.72613730946282e-249,"Amino acid metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6609  adenine and adenosine salvage III",0.835437721319719,3.34254078808748e-249,2.15973176240219e-247,"Nucleotide metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.834968281701979,1.14600914757991e-248,7.37859811945354e-247,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing ",0.83354754613483,4.6608280597488e-247,2.97982273953273e-245,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.83201192904257,2.45942430641236e-245,1.55062872965881e-243,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY 6609  adenine and adenosine salvage III",0.830341498669322,1.75664732145029e-243,1.09992683313215e-241,"Nucleotide metabolism"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY 6609  adenine and adenosine salvage III",0.829635749087041,1.05158697604556e-242,6.49524281034787e-241,"Nucleotide metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 2942  L lysine biosynthesis III",0.828030754314078,5.97026482739055e-241,3.62613984732944e-239,"Amino acid metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II",0.826890648163958,1.0256980589416e-239,6.1075961869199e-238,"Nucleotide metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis",0.826890648163958,1.0256980589416e-239,6.1075961869199e-238,"Nucleotide metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","COA PWY 1  coenzyme A biosynthesis II  mammalian ",0.826001587710872,9.28598814344011e-239,5.51140032448281e-237,"Lipid and cofactor metabolism"
"UNINTEGRATED.g__Eubacterium.s__Eubacterium_eligens_CAG_72","PWY 5686  UMP biosynthesis",0.824547668921142,3.31782355203193e-237,1.95644216639398e-235,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.822398586101454,6.17039847579962e-235,3.56923271833476e-233,"Nucleotide metabolism"
"UNINTEGRATED.g__Bacteroides.s__Bacteroides_fragilis_CAG_47","PWY 7221  guanosine ribonucleotides de novo biosynthesis",0.820691772407141,3.72366458768487e-233,2.12692452828232e-231,"Nucleotide metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","PWY 7111  pyruvate fermentation to isobutanol  engineered ",0.820483034745977,6.12966577967052e-233,3.47939689007403e-231,"Energy metabolism"
"UNINTEGRATED.g__Barnesiella.s__Barnesiella_intestinihominis","VALSYN PWY  L valine biosynthesis",0.820483034745977,6.12966577967052e-233,3.47939689007403e-231,"Amino acid metabolism"
