"pathway","control_mean","T2D_mean","log2FC","p_value","FDR","category","direction"
"PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation",2.01609719626168e-06,7.467652e-06,1.88903726721239,6.88267522544703e-19,2.87057917939376e-18,"Other","T2D_enriched"
"PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III",2.44392945482866e-06,8.78976256363636e-06,1.84657893562231,3.08757865954239e-27,4.06135346755191e-26,"Other","T2D_enriched"
"PWY-5367: petroselinate biosynthesis",1.78773074766355e-06,6.41604501818182e-06,1.84349658572315,4.12555464920289e-23,2.82187938005478e-22,"Other","T2D_enriched"
"ECASYN-PWY: enterobacterial common antigen biosynthesis",1.09341904984424e-06,3.90644064727273e-06,1.8369132720738,1.44643912853956e-13,3.66431245896688e-13,"Other","T2D_enriched"
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA",6.54513512461059e-06,2.32563235454545e-05,1.8291123269787,1.03539855087082e-34,1.18035434799273e-32,"Carbohydrate metabolism","T2D_enriched"
"AST-PWY: L-arginine degradation II (AST pathway)",1.43142303582555e-06,5.08039349090909e-06,1.82741775305652,8.40423345301689e-20,4.16557658106055e-19,"Other","T2D_enriched"
"PWY0-42: 2-methylcitrate cycle I",1.52351836604361e-06,5.40165430727273e-06,1.8259264382816,2.62606038474771e-19,1.18172717313647e-18,"Other","T2D_enriched"
"REDCITCYC: TCA cycle VIII (helicobacter)",1.06109347352025e-06,3.74943481818182e-06,1.82102391243171,5.63777443159545e-21,3.06050612000896e-20,"Carbohydrate metabolism","T2D_enriched"
"PWY-6803: phosphatidylcholine acyl editing",4.52050568535826e-06,1.59026782545455e-05,1.8146908422596,1.85983455600127e-32,1.27212683630487e-30,"Other","T2D_enriched"
"GLUCARDEG-PWY: D-glucarate degradation I",3.88138847819315e-06,1.35597603381818e-05,1.80466040911494,5.10208829922905e-29,1.16327613222422e-27,"Other","T2D_enriched"
"PWY-6629: superpathway of L-tryptophan biosynthesis",1.03273683800623e-05,3.60656798727273e-05,1.804143977384,6.42302777732599e-25,5.35774512157436e-24,"Other","T2D_enriched"
"GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass",9.61993445482866e-06,3.35748870181818e-05,1.8032728756019,8.46361026711094e-35,1.18035434799273e-32,"Carbohydrate metabolism","T2D_enriched"
"P23-PWY: reductive TCA cycle I",1.00778161993769e-06,3.50869710909091e-06,1.79965033047735,6.88871614668318e-15,2.04864428014404e-14,"Carbohydrate metabolism","T2D_enriched"
"PWY-5918: superpathay of heme biosynthesis from glutamate",4.3621354517134e-06,1.51370943272727e-05,1.79495828049524,3.8498337005329e-27,4.70229687707947e-26,"Amino acid metabolism","T2D_enriched"
"PWY-5747: 2-methylcitrate cycle II",1.58018910124611e-06,5.45590776363636e-06,1.78765718518816,2.80173683848828e-21,1.62405762502202e-20,"Other","T2D_enriched"
"PWY-7446: sulfoglycolysis",6.37963627725857e-07,2.19353817454545e-06,1.78155338091582,9.41075624925656e-14,2.41990874980883e-13,"Carbohydrate metabolism","T2D_enriched"
"PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis",5.00608739875389e-06,1.71957280727273e-05,1.78027438898689,8.40585745099866e-25,6.73067822127781e-24,"Other","T2D_enriched"
"GLYOXYLATE-BYPASS: glyoxylate cycle",5.50235361370717e-06,1.86715656909091e-05,1.76270365227984,3.71898470350419e-37,1.27189276859843e-34,"Carbohydrate metabolism","T2D_enriched"
"P161-PWY: acetylene degradation",5.8136345482866e-06,1.97177746545455e-05,1.76196694975523,3.12348701211186e-28,4.85560253701026e-27,"Other","T2D_enriched"
"PWY-5845: superpathway of menaquinol-9 biosynthesis",6.91690769470405e-06,2.31952562181818e-05,1.74561603583033,8.46254864078789e-25,6.73067822127781e-24,"Other","T2D_enriched"
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation",8.87004096573209e-07,2.96697014181818e-06,1.74186372111468,1.09841716814135e-21,6.83015766371532e-21,"Carbohydrate metabolism","T2D_enriched"
"PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)",5.60066398753894e-06,1.86472812727273e-05,1.73527750072655,4.75188193442449e-28,7.06584183292685e-27,"Other","T2D_enriched"
"PWY-5723: Rubisco shunt",8.10298241433022e-06,2.68585371636364e-05,1.72884338368338,5.3573338164019e-27,6.10736055069817e-26,"Other","T2D_enriched"
"PWY-5173: superpathway of acetyl-CoA biosynthesis",3.55549417445483e-06,1.16721287090909e-05,1.71491748372562,6.45465189449513e-29,1.37968184244833e-27,"Other","T2D_enriched"
"PWY-561: superpathway of glyoxylate cycle and fatty acid degradation",5.07074757009346e-06,1.65028273636364e-05,1.70242314622889,1.49166802247944e-28,2.685002440463e-27,"Lipid metabolism","T2D_enriched"
"PWY0-1338: polymyxin resistance",8.71410705607477e-07,2.82405753454545e-06,1.69623027434646,1.99333934485898e-14,5.49775851565945e-14,"Other","T2D_enriched"
"PWY-7046: 4-coumarate degradation (anaerobic)",1.54575588785047e-06,5.00486242181818e-06,1.69495340654703,1.31506866019009e-19,6.24657613590295e-19,"Other","T2D_enriched"
"PWY-7385: 1,3-propanediol biosynthesis (engineered)",9.75520342679128e-07,3.15583488363636e-06,1.69367569332705,1.24818505904875e-15,3.98952607658573e-15,"Other","T2D_enriched"
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",2.18365056074766e-06,6.98677112727273e-06,1.67783845642808,1.54924744685878e-16,5.09464064255485e-16,"Carbohydrate metabolism","T2D_enriched"
"PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)",1.1093058411215e-06,3.47368310909091e-06,1.64672045349555,2.88951264460449e-13,7.1609661192372e-13,"Other","T2D_enriched"
"PWY-5840: superpathway of menaquinol-7 biosynthesis",6.53397196261682e-06,2.04163457818182e-05,1.64367748599578,1.62254268872124e-19,7.60150136359814e-19,"Other","T2D_enriched"
"P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)",5.81117546728972e-06,1.80269852727273e-05,1.63323940371192,1.03912236191326e-28,1.9743324876352e-27,"Carbohydrate metabolism","T2D_enriched"
"P122-PWY: heterolactic fermentation",1.89246609034268e-06,5.84972536363636e-06,1.62804987471083,5.73730436769271e-15,1.73642309181496e-14,"Other","T2D_enriched"
"GALACTARDEG-PWY: D-galactarate degradation I",6.94425630529595e-06,2.11175917636364e-05,1.60453927430558,7.06219973050142e-24,4.92912715883976e-23,"Other","T2D_enriched"
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",6.94425630529595e-06,2.11175917636364e-05,1.60453927430558,7.06219973050142e-24,4.92912715883976e-23,"Other","T2D_enriched"
"PWY-6612: superpathway of tetrahydrofolate biosynthesis",2.92028450155763e-06,8.79164210909091e-06,1.58999073920039,6.4422758729332e-19,2.75407293567894e-18,"Other","T2D_enriched"
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate",1.06491046105919e-05,3.17931602545455e-05,1.57797528635092,2.79536857565072e-28,4.55245739463117e-27,"Short chain fatty acid metabolism","T2D_enriched"
"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage",4.14389878504673e-06,1.23440446181818e-05,1.57473138389323,6.62363275409909e-19,2.79664494061962e-18,"Other","T2D_enriched"
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",5.08872042056075e-06,1.49492941272727e-05,1.55468382966321,2.2934830214324e-25,2.11992214413482e-24,"Other","T2D_enriched"
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",5.08872042056075e-06,1.49492941272727e-05,1.55468382966321,2.2934830214324e-25,2.11992214413482e-24,"Other","T2D_enriched"
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",5.42265271028037e-06,1.58277626e-05,1.54536915976741,3.21223307485982e-27,4.0688285614891e-26,"Amino acid metabolism","T2D_enriched"
"PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis",9.32696250778816e-06,2.67925315090909e-05,1.52234159509508,5.44492069436988e-25,4.65540719368625e-24,"Other","T2D_enriched"
"PWY66-398: TCA cycle III (animals)",1.67096802180685e-06,4.74784087272727e-06,1.50653150851165,3.80935379466941e-12,8.9848206743237e-12,"Carbohydrate metabolism","T2D_enriched"
"PWY-5863: superpathway of phylloquinol biosynthesis",5.03071412772586e-06,1.42236360909091e-05,1.49943666875742,9.35784502253351e-25,7.27359772206014e-24,"Other","T2D_enriched"
"PWY-5838: superpathway of menaquinol-8 biosynthesis I",1.25712804984424e-05,3.52056294363636e-05,1.48566714961942,4.82167587500484e-25,4.22823884423501e-24,"Other","T2D_enriched"
"PWY-5897: superpathway of menaquinol-11 biosynthesis",1.18777061370717e-05,3.29884276727273e-05,1.47369599863745,1.72596561151982e-25,1.7358026839789e-24,"Other","T2D_enriched"
"PWY-5898: superpathway of menaquinol-12 biosynthesis",1.18777061370717e-05,3.29884276727273e-05,1.47369599863745,1.72596561151982e-25,1.7358026839789e-24,"Other","T2D_enriched"
"PWY-5899: superpathway of menaquinol-13 biosynthesis",1.18777061370717e-05,3.29884276727273e-05,1.47369599863745,1.72596561151982e-25,1.7358026839789e-24,"Other","T2D_enriched"
"FAO-PWY: fatty acid &beta;-oxidation I",1.34446234423676e-05,3.68963047454545e-05,1.4564401649225,2.41572159591253e-32,1.37696130967014e-30,"Lipid metabolism","T2D_enriched"
"PWY-7254: TCA cycle VII (acetate-producers)",5.84950646417446e-06,1.60087423636364e-05,1.45245751212689,2.78042674703805e-29,7.92421622905844e-28,"Carbohydrate metabolism","T2D_enriched"
"PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",6.89697356697819e-07,1.88680744e-06,1.45177914946761,1.01746699162602e-12,2.43338259535734e-12,"Lipid metabolism","T2D_enriched"
"PWY-5136: fatty acid &beta;-oxidation II (peroxisome)",1.24499702803738e-05,3.40140004363636e-05,1.44997904866909,8.3845338216195e-32,3.58438820874233e-30,"Lipid metabolism","T2D_enriched"
"PWY-5913: TCA cycle VI (obligate autotrophs)",1.35388070872274e-05,3.6420406e-05,1.42763968250084,1.06437095410684e-29,3.64014866304539e-28,"Carbohydrate metabolism","T2D_enriched"
"PWY0-781: aspartate superpathway",1.22440773676012e-05,3.23596953272727e-05,1.402106634057,1.77640625553396e-25,1.7358026839789e-24,"Other","T2D_enriched"
"PWY-5189: tetrapyrrole biosynthesis II (from glycine)",4.79880615264798e-06,1.26458876727273e-05,1.39790221317478,3.63934706734571e-21,2.04042081480694e-20,"Other","T2D_enriched"
"HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)",5.21331353582554e-06,1.37270691818182e-05,1.39673393711156,5.0939881873542e-21,2.80990961302441e-20,"Other","T2D_enriched"
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",1.26088109034268e-05,3.25943570545455e-05,1.37018297555571,3.05680472157427e-25,2.75112424941685e-24,"Other","T2D_enriched"
"P441-PWY: superpathway of N-acetylneuraminate degradation",1.79187175545171e-05,4.60544948909091e-05,1.36186966345017,1.31030194395323e-32,1.12030816208001e-30,"Other","T2D_enriched"
"PYRIDNUCSAL-PWY: NAD salvage pathway I",1.35604928660436e-05,3.44307163636364e-05,1.34428013383609,1.17638648832272e-22,7.59102224540318e-22,"Other","T2D_enriched"
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type",1.59881015732087e-05,3.91831839454545e-05,1.29323064779877,1.31650283207498e-29,4.09312698699677e-28,"Other","T2D_enriched"
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type",1.41472027258567e-05,3.43640662363636e-05,1.2803779360741,3.26159006529591e-29,8.14581854869909e-28,"Other","T2D_enriched"
"FERMENTATION-PWY: mixed acid fermentation",1.4559106152648e-05,3.50865253272727e-05,1.2689895002372,2.99430167414693e-27,4.06135346755191e-26,"Other","T2D_enriched"
"PWY-6628: superpathway of L-phenylalanine biosynthesis",1.59359070404984e-05,3.81576241636364e-05,1.25968493753093,6.66032163680126e-27,7.3478387089872e-26,"Other","T2D_enriched"
"PWY-7013: L-1,2-propanediol degradation",3.88372291277259e-06,9.28390256363636e-06,1.25726950008978,7.05471838542546e-12,1.65254362179144e-11,"Other","T2D_enriched"
"PWY66-391: fatty acid &beta;-oxidation VI (peroxisome)",1.87076101246106e-06,4.43465107272727e-06,1.24515074303657,3.15591516994645e-07,5.62147389646712e-07,"Lipid metabolism","T2D_enriched"
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",4.98426503115265e-06,1.17760928436364e-05,1.24039156841464,1.98171739153095e-15,6.27543840651468e-15,"Lipid metabolism","T2D_enriched"
"PWY-6588: pyruvate fermentation to acetone",3.21735744548287e-06,7.58419856363636e-06,1.2370946912165,3.2953207940309e-13,8.04999793970405e-13,"Carbohydrate metabolism","T2D_enriched"
"PWY-6531: mannitol cycle",6.7737964953271e-06,1.58734079090909e-05,1.22856313880397,1.99320150698714e-16,6.49214205132955e-16,"Other","T2D_enriched"
"P162-PWY: L-glutamate degradation V (via hydroxyglutarate)",4.03272498442368e-06,9.4358388e-06,1.22637526414969,9.10034812810926e-10,1.93311742845551e-09,"Amino acid metabolism","T2D_enriched"
"SO4ASSIM-PWY: sulfate reduction I (assimilatory)",1.62737069314642e-05,3.71121027090909e-05,1.18934185128426,1.59348483994968e-28,2.72485907631396e-27,"Other","T2D_enriched"
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",9.9124535046729e-06,2.25787359272727e-05,1.18764245541458,4.78080547698868e-18,1.75810265927971e-17,"Other","T2D_enriched"
"SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis",2.25861006542056e-05,5.00533960545455e-05,1.14802923189924,8.38413149364536e-29,1.68668998283924e-27,"Other","T2D_enriched"
"PWY-6630: superpathway of L-tyrosine biosynthesis",9.21114319314642e-06,2.01867082e-05,1.13194503208419,2.49364719713092e-20,1.29216263851329e-19,"Other","T2D_enriched"
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",9.33525109034268e-06,2.03098934363636e-05,1.12141358693674,3.39037395096044e-21,1.93251315204745e-20,"Other","T2D_enriched"
"PWY-6478: GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis",1.6612318847352e-06,3.60866447272727e-06,1.11916467862877,1.29470887838931e-07,2.3934618184278e-07,"Other","T2D_enriched"
"PWY-5022: 4-aminobutanoate degradation V",1.01026537850467e-05,2.17453820909091e-05,1.10596710025018,1.16684081612691e-19,5.6205571706395e-19,"Amino acid metabolism","T2D_enriched"
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",1.60190504517134e-06,3.42080274545455e-06,1.09449839838159,6.54658295290992e-07,1.14816993327959e-06,"Lipid metabolism","T2D_enriched"
"DAPLYSINESYN-PWY: L-lysine biosynthesis I",2.52208489096573e-05,5.34176998909091e-05,1.08269800072626,2.88714655895385e-20,1.45206488700326e-19,"Other","T2D_enriched"
"METHGLYUT-PWY: superpathway of methylglyoxal degradation",5.92075211838006e-06,1.24235306745455e-05,1.06921012154652,1.52584268702335e-17,5.32487958124474e-17,"Carbohydrate metabolism","T2D_enriched"
"P185-PWY: formaldehyde assimilation III (dihydroxyacetone cycle)",3.2898038317757e-06,6.77473738181818e-06,1.04214090479852,4.49804700746274e-09,9.10255666598969e-09,"Other","T2D_enriched"
"HEMESYN2-PWY: heme biosynthesis II (anaerobic)",7.06361561993769e-06,1.44658718363636e-05,1.03416408059711,1.20500293691026e-18,4.79198842352684e-18,"Other","T2D_enriched"
"PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)",2.65428389563863e-05,5.42972193818182e-05,1.03255285362051,4.11402891687387e-27,4.85171686058918e-26,"Other","T2D_enriched"
"PWY-5083: NAD/NADH phosphorylation and dephosphorylation",1.87971909501558e-05,3.77813512054545e-05,1.0071533605856,2.88563288366139e-19,1.28167070936649e-18,"Other","T2D_enriched"
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II",3.05221969781931e-05,6.03077789636364e-05,0.982482958960167,2.77613642751713e-21,1.62405762502202e-20,"Nucleotide metabolism","T2D_enriched"
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)",3.01077409190031e-05,5.92460109090909e-05,0.976581200502454,8.99280893962791e-22,5.69544566176434e-21,"Other","T2D_enriched"
"GLUDEG-I-PWY: GABA shunt",1.38749437819315e-05,2.64002429763636e-05,0.928064348462186,2.68978739790685e-17,9.10799297113013e-17,"Other","T2D_enriched"
"PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis",8.84265959501558e-06,1.68235246727273e-05,0.927919997130872,1.95828981606125e-13,4.8885774970288e-13,"Other","T2D_enriched"
"PWY-2723: trehalose degradation V",8.0086280529595e-06,1.49795601454545e-05,0.90335985572644,1.22877098908141e-11,2.83945728558e-11,"Other","T2D_enriched"
"PWY-6606: guanosine nucleotides degradation II",1.68055041277259e-05,3.13460052e-05,0.899343791598998,3.42630647178088e-19,1.48328710550514e-18,"Nucleotide metabolism","T2D_enriched"
"PWY-5384: sucrose degradation IV (sucrose phosphorylase)",1.13551855451713e-05,2.10456815636364e-05,0.890167101944285,2.30212380213505e-15,7.2231774342219e-15,"Other","T2D_enriched"
"PWY-7003: glycerol degradation to butanol",1.48175080996885e-06,2.71237563636364e-06,0.872209972177598,0.00225407638719585,0.00315940214926631,"Other","T2D_enriched"
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",1.42931060124611e-05,2.59832472e-05,0.862257738224754,2.29049738246294e-11,5.2223340320155e-11,"Other","T2D_enriched"
"PWY-6549: L-glutamine biosynthesis III",1.34364064330218e-05,2.42930231090909e-05,0.854389895814337,4.119581359516e-18,1.54823826918074e-17,"Other","T2D_enriched"
"PWY-1861: formaldehyde assimilation II (RuMP Cycle)",6.9422891588785e-06,1.24934990509091e-05,0.847684992776233,2.24400192963032e-06,3.78053527060871e-06,"Other","T2D_enriched"
"PWY66-389: phytol degradation",5.83282885825545e-06,1.04774889985455e-05,0.845014392598732,5.03506123256499e-16,1.62451975616719e-15,"Other","T2D_enriched"
"PWY-7209: superpathway of pyrimidine ribonucleosides degradation",1.20194353582555e-06,2.13992161818182e-06,0.832136221812218,6.95361268505113e-05,0.000108590663848744,"Nucleotide metabolism","T2D_enriched"
"PWY-6731: starch degradation III",8.63592288161994e-06,1.53280421636364e-05,0.827743875807401,7.96837988160855e-11,1.78116726765367e-10,"Other","T2D_enriched"
"P221-PWY: octane oxidation",1.53034850778816e-06,2.71572053636364e-06,0.827433642316683,2.27352829466964e-10,5.01643017275494e-10,"Other","T2D_enriched"
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol",3.06520862928349e-06,5.43366452727273e-06,0.825919709221119,2.98231721906694e-08,5.76244344023103e-08,"Other","T2D_enriched"
"PWY-5676: acetyl-CoA fermentation to butanoate II",1.21719673364486e-05,2.15603849454545e-05,0.824815407978435,1.27050876423294e-13,3.24264177140048e-13,"Other","T2D_enriched"
"PWY-6353: purine nucleotides degradation II (aerobic)",3.33239643613707e-05,5.86927031454545e-05,0.816619242931833,2.95286664985288e-19,1.29471845416626e-18,"Nucleotide metabolism","T2D_enriched"
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",2.08368348286604e-05,3.62715205636364e-05,0.799698135527229,3.18672423915742e-13,7.84071719274703e-13,"Nucleotide metabolism","T2D_enriched"
"ARGORNPROST-PWY: arginine, ornithine and proline interconversion",2.91973263239875e-06,5.0549664e-06,0.791844367723406,0.000284717635314233,0.000436652158194923,"Other","T2D_enriched"
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",1.82853858722741e-05,3.16439259818182e-05,0.791234199864545,3.13924811754553e-14,8.258637355389e-14,"Nucleotide metabolism","T2D_enriched"
"HOMOSER-METSYN-PWY: L-methionine biosynthesis I",2.11543517601246e-05,3.65151291818182e-05,0.787536988219892,8.16466494361347e-18,2.93927937970085e-17,"Other","T2D_enriched"
"PWY-6572: chondroitin sulfate degradation I (bacterial)",5.32588e-06,9.10564092727273e-06,0.773729402003127,2.23773287218695e-07,4.070769373872e-07,"Other","T2D_enriched"
"PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)",1.78016085669782e-06,3.01738609090909e-06,0.761258470104732,6.56662557253134e-05,0.000103017703936042,"Other","T2D_enriched"
"P164-PWY: purine nucleobases degradation I (anaerobic)",1.43484936292835e-05,2.43199702e-05,0.761238054385294,8.3712565504213e-08,1.57306029683741e-07,"Nucleotide metabolism","T2D_enriched"
"PWY-6608: guanosine nucleotides degradation III",4.73987810280374e-05,8.01745048181818e-05,0.75829233660441,1.24722517532443e-18,4.90288517196502e-18,"Nucleotide metabolism","T2D_enriched"
"FUCCAT-PWY: fucose degradation",1.69795911370717e-05,2.86045296909091e-05,0.752438451380323,1.12416723400765e-11,2.61540948320147e-11,"Other","T2D_enriched"
"METSYN-PWY: L-homoserine and L-methionine biosynthesis",3.64394944080997e-05,6.07686091818182e-05,0.737821745937347,7.62272436338561e-18,2.77337418327434e-17,"Other","T2D_enriched"
"PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)",3.99238784267913e-05,6.64914221090909e-05,0.735914911424627,4.74019232144996e-18,1.75810265927971e-17,"Other","T2D_enriched"
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis",3.81680643146417e-05,6.27364358727273e-05,0.716936067720747,9.15361742109256e-18,3.26097620626422e-17,"Other","T2D_enriched"
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",2.46655420560748e-05,4.02281610181818e-05,0.705706532962031,1.82752360513909e-13,4.59568435998212e-13,"Other","T2D_enriched"
"PWY-6595: superpathway of guanosine nucleotides degradation (plants)",2.81019216510903e-06,4.53484149090909e-06,0.690363812970062,0.0217413160333056,0.0270382912123291,"Nucleotide metabolism","T2D_enriched"
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",5.12946058878505e-05,8.27007531090909e-05,0.689092278374369,1.06413892493933e-14,3.0327959360771e-14,"Lipid metabolism","T2D_enriched"
