"Pathway","Degree"
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.1042..glycolysis.IV..plant.cytosol..g__Eubacterium.s__Eubacterium_eligens",2
"PWY.1042..glycolysis.IV..plant.cytosol..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.2942..L.lysine.biosynthesis.III.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.2942..L.lysine.biosynthesis.III.g__Dialister.s__Dialister_invisus",2
"PWY.2942..L.lysine.biosynthesis.III.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.2942..L.lysine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.2942..L.lysine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.3841..folate.transformations.II.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.3841..folate.transformations.II.g__Dialister.s__Dialister_invisus",2
"PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.5097..L.lysine.biosynthesis.VI.g__Dialister.s__Dialister_invisus",2
"PWY.5097..L.lysine.biosynthesis.VI.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.5097..L.lysine.biosynthesis.VI.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.5097..L.lysine.biosynthesis.VI.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.5103..L.isoleucine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.5103..L.isoleucine.biosynthesis.III.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate..g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate..g__Eubacterium.s__Eubacterium_eligens",2
"PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Dialister.s__Dialister_invisus",2
"PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.5686..UMP.biosynthesis.g__Dialister.s__Dialister_invisus",2
"PWY.5686..UMP.biosynthesis.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.5686..UMP.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.5686..UMP.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Dialister.s__Dialister_invisus",2
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Dialister.s__Dialister_invisus",2
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",2
"PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Dialister.s__Dialister_invisus",2
"PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6168..flavin.biosynthesis.III..fungi..g__Dialister.s__Dialister_invisus",2
"PWY.6168..flavin.biosynthesis.III..fungi..g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Dialister.s__Dialister_invisus",2
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Dialister.s__Dialister_invisus",2
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Dialister.s__Dialister_invisus",2
"PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Dialister.s__Dialister_invisus",2
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6609..adenine.and.adenosine.salvage.III.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.6609..adenine.and.adenosine.salvage.III.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6609..adenine.and.adenosine.salvage.III.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6700..queuosine.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.6700..queuosine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6700..queuosine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6703..preQ0.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6703..preQ0.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6737..starch.degradation.V.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6737..starch.degradation.V.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6892..thiazole.biosynthesis.I..E..coli..g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6892..thiazole.biosynthesis.I..E..coli..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.6897..thiamin.salvage.II.g__Dialister.s__Dialister_invisus",2
"PWY.6897..thiamin.salvage.II.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.6936..seleno.amino.acid.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.6936..seleno.amino.acid.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Bacteroides.s__Bacteroides_fragilis_CAG_47",2
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Eubacterium.s__Eubacterium_eligens",2
"PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.g__Dialister.s__Dialister_invisus",2
"PWY.7219..adenosine.ribonucleotides.de.novo.biosynthesis.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",2
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",2
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",2
"PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II.g__Dialister.s__Dialister_invisus",2
"PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II.g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Dialister.s__Dialister_invisus",2
"PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Dialister.s__Dialister_invisus_CAG_218",2
"PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..g__Eubacterium.s__Eubacterium_eligens",2
"PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY0.1296..purine.ribonucleosides.degradation.g__Eubacterium.s__Eubacterium_eligens",2
"PWY0.1296..purine.ribonucleosides.degradation.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Bacteroides.s__Bacteroides_fragilis",2
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Dialister.s__Dialister_invisus",2
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Eubacterium.s__Eubacterium_eligens",2
"PWY0.1319..CDP.diacylglycerol.biosynthesis.II.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"RHAMCAT.PWY..L.rhamnose.degradation.I.g__Eubacterium.s__Eubacterium_eligens",2
"RHAMCAT.PWY..L.rhamnose.degradation.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Eubacterium.s__Eubacterium_eligens",2
"RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.g__Bacteroides.s__Bacteroides_fragilis",2
"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens",2
"SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"TRPSYN.PWY..L.tryptophan.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"TRPSYN.PWY..L.tryptophan.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Dialister.s__Dialister_invisus",2
"UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I.g__Dialister.s__Dialister_invisus_CAG_218",2
"VALSYN.PWY..L.valine.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis",2
"VALSYN.PWY..L.valine.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis_CAG_47",2
"VALSYN.PWY..L.valine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens",2
"VALSYN.PWY..L.valine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",2
"ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose..g__Parabacteroides.s__Parabacteroides_distasonis",1
"ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis.g__Bacteroides.s__Bacteroides_fragilis",1
"ARGININE.SYN4.PWY..L.ornithine.de.novo..biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Gemmiger.s__Gemmiger_formicilis",1
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..unclassified",1
"ARO.PWY..chorismate.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"ARO.PWY..chorismate.biosynthesis.I.unclassified",1
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Bacteroides.s__Bacteroides_fragilis",1
"ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis.g__Gemmiger.s__Gemmiger_formicilis",1
"BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"COA.PWY..coenzyme.A.biosynthesis.I.g__Barnesiella.s__Barnesiella_intestinihominis",1
"COA.PWY..coenzyme.A.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"COA.PWY..coenzyme.A.biosynthesis.I.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans",1
"COA.PWY..coenzyme.A.biosynthesis.I.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"COA.PWY..coenzyme.A.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"COA.PWY..coenzyme.A.biosynthesis.I.unclassified",1
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Barnesiella.s__Barnesiella_intestinihominis",1
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Parabacteroides.s__Parabacteroides_distasonis",1
"COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..unclassified",1
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis.unclassified",1
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Barnesiella.s__Barnesiella_intestinihominis",1
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans",1
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Gemmiger.s__Gemmiger_formicilis",1
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.unclassified",1
"FAO.PWY..fatty.acid..beta..oxidation.I",1
"FERMENTATION.PWY..mixed.acid.fermentation.unclassified",1
"GALACTARDEG.PWY..D.galactarate.degradation.I",1
"GALACTUROCAT.PWY..D.galacturonate.degradation.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"GLUCARDEG.PWY..D.glucarate.degradation.I",1
"GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation",1
"GLUTORN.PWY..L.ornithine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"GLUTORN.PWY..L.ornithine.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Eubacterium.s__Eubacterium_eligens",1
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass",1
"GLYOXYLATE.BYPASS..glyoxylate.cycle",1
"GLYOXYLATE.BYPASS..glyoxylate.cycle.unclassified",1
"HISDEG.PWY..L.histidine.degradation.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"HISTSYN.PWY..L.histidine.biosynthesis.g__Barnesiella.s__Barnesiella_intestinihominis",1
"HISTSYN.PWY..L.histidine.biosynthesis.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"HISTSYN.PWY..L.histidine.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",1
"HISTSYN.PWY..L.histidine.biosynthesis.unclassified",1
"HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Parabacteroides.s__Parabacteroides_distasonis",1
"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Gemmiger.s__Gemmiger_formicilis",1
"ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine..g__Parabacteroides.s__Parabacteroides_distasonis",1
"KETOGLUCONMET.PWY..ketogluconate.metabolism",1
"NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Escherichia.s__Escherichia_coli",1
"NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Parabacteroides.s__Parabacteroides_distasonis",1
"P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",1
"P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",1
"PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",1
"PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PANTOSYN.PWY..pantothenate.and.coenzyme.A.biosynthesis.I.unclassified",1
"PENTOSE.P.PWY..pentose.phosphate.pathway.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..g__Parabacteroides.s__Parabacteroides_distasonis",1
"PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing..unclassified",1
"POLYAMSYN.PWY..superpathway.of.polyamine.biosynthesis.I.unclassified",1
"PWY.1042..glycolysis.IV..plant.cytosol..g__Bacteroides.s__Bacteroides_fragilis",1
"PWY.1042..glycolysis.IV..plant.cytosol..g__Bacteroides.s__Bacteroides_fragilis_CAG_47",1
"PWY.1042..glycolysis.IV..plant.cytosol..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.1042..glycolysis.IV..plant.cytosol..unclassified",1
"PWY.2942..L.lysine.biosynthesis.III.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.2942..L.lysine.biosynthesis.III.g__Lachnospira.s__Lachnospira_pectinoschiza",1
"PWY.2942..L.lysine.biosynthesis.III.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.2942..L.lysine.biosynthesis.III.unclassified",1
"PWY.3841..folate.transformations.II.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.3841..folate.transformations.II.g__Parabacteroides.s__Parabacteroides_distasonis",1
"PWY.3841..folate.transformations.II.unclassified",1
"PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III.unclassified",1
"PWY.4702..phytate.degradation.I",1
"PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation.unclassified",1
"PWY.5097..L.lysine.biosynthesis.VI.g__Barnesiella.s__Barnesiella_intestinihominis",1
"PWY.5097..L.lysine.biosynthesis.VI.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",1
"PWY.5097..L.lysine.biosynthesis.VI.g__Lachnospira.s__Lachnospira_pectinoschiza",1
