"pathway","control_mean","T2D_mean","log2FC","p_value","FDR","category","direction","importance_score"
"ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",2.030186105919e-06,8.28218009090909e-06,2.02834494782513,1.19438672235309e-21,7.16632033411851e-21,"Amino acid metabolism","T2D_enriched",40.86040814327
"PWY-6285: superpathway of fatty acids biosynthesis (E. coli)",3.52743529595016e-06,1.71352718181818e-05,2.28024507366521,9.47510174964768e-19,3.81233505691707e-18,"Lipid metabolism","T2D_enriched",39.7191532683109
"PWY-7254: TCA cycle VII (acetate-producers)",5.84950646417446e-06,1.60087423636364e-05,1.45245751212689,2.78042674703805e-29,7.92421622905844e-28,"Carbohydrate metabolism","T2D_enriched",39.3631144828721
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",5.42265271028037e-06,1.58277626e-05,1.54536915976741,3.21223307485982e-27,4.0688285614891e-26,"Amino acid metabolism","T2D_enriched",39.2377429526462
"PWY-5913: TCA cycle VI (obligate autotrophs)",1.35388070872274e-05,3.6420406e-05,1.42763968250084,1.06437095410684e-29,3.64014866304539e-28,"Carbohydrate metabolism","T2D_enriched",39.1728351869546
"PWY-7094: fatty acid salvage",8.03544299065421e-07,3.75408761454545e-06,2.22387175361739,2.33984943924263e-18,8.89142786912199e-18,"Lipid metabolism","T2D_enriched",37.9193006297841
"REDCITCYC: TCA cycle VIII (helicobacter)",1.06109347352025e-06,3.74943481818182e-06,1.82102391243171,5.63777443159545e-21,3.06050612000896e-20,"Carbohydrate metabolism","T2D_enriched",35.5358371197295
"GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation",8.87004096573209e-07,2.96697014181818e-06,1.74186372111468,1.09841716814135e-21,6.83015766371532e-21,"Carbohydrate metabolism","T2D_enriched",35.1256735290946
"PWY-5705: allantoin degradation to glyoxylate III",5.30754166666667e-07,2.32713458909091e-06,2.13222915278278,1.85249080804651e-17,6.39951370052432e-17,"Carbohydrate metabolism","T2D_enriched",34.5290055196847
"KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis",8.09331641744548e-07,3.27484130909091e-06,2.01648789997804,9.93349287768176e-18,3.50232429295584e-17,"Lipid metabolism","T2D_enriched",33.1826062934354
"PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle",2.18365056074766e-06,6.98677112727273e-06,1.67783845642808,1.54924744685878e-16,5.09464064255485e-16,"Carbohydrate metabolism","T2D_enriched",25.6589929857531
"P23-PWY: reductive TCA cycle I",1.00778161993769e-06,3.50869710909091e-06,1.79965033047735,6.88871614668318e-15,2.04864428014404e-14,"Carbohydrate metabolism","T2D_enriched",24.6345737371777
"PWY-7446: sulfoglycolysis",6.37963627725857e-07,2.19353817454545e-06,1.78155338091582,9.41075624925656e-14,2.41990874980883e-13,"Carbohydrate metabolism","T2D_enriched",22.4764355639213
"PWY-5022: 4-aminobutanoate degradation V",1.01026537850467e-05,2.17453820909091e-05,1.10596710025018,1.16684081612691e-19,5.6205571706395e-19,"Amino acid metabolism","T2D_enriched",20.1841435894338
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II",3.05221969781931e-05,6.03077789636364e-05,0.982482958960167,2.77613642751713e-21,1.62405762502202e-20,"Nucleotide metabolism","T2D_enriched",19.4427468583097
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",4.98426503115265e-06,1.17760928436364e-05,1.24039156841464,1.98171739153095e-15,6.27543840651468e-15,"Lipid metabolism","T2D_enriched",17.6164825455471
"METHGLYUT-PWY: superpathway of methylglyoxal degradation",5.92075211838006e-06,1.24235306745455e-05,1.06921012154652,1.52584268702335e-17,5.32487958124474e-17,"Carbohydrate metabolism","T2D_enriched",17.3999942864511
"PWY-6837: fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)",6.89697356697819e-07,1.88680744e-06,1.45177914946761,1.01746699162602e-12,2.43338259535734e-12,"Lipid metabolism","T2D_enriched",16.8606575912725
"PWY66-398: TCA cycle III (animals)",1.67096802180685e-06,4.74784087272727e-06,1.50653150851165,3.80935379466941e-12,8.9848206743237e-12,"Carbohydrate metabolism","T2D_enriched",16.6418861269462
"PWY-6606: guanosine nucleotides degradation II",1.68055041277259e-05,3.13460052e-05,0.899343791598998,3.42630647178088e-19,1.48328710550514e-18,"Nucleotide metabolism","T2D_enriched",16.0341979090069
"PWY-6588: pyruvate fermentation to acetone",3.21735744548287e-06,7.58419856363636e-06,1.2370946912165,3.2953207940309e-13,8.04999793970405e-13,"Carbohydrate metabolism","T2D_enriched",14.9616758483914
"PWY-6353: purine nucleotides degradation II (aerobic)",3.33239643613707e-05,5.86927031454545e-05,0.816619242931833,2.95286664985288e-19,1.29471845416626e-18,"Nucleotide metabolism","T2D_enriched",14.607541832994
"PWY-6608: guanosine nucleotides degradation III",4.73987810280374e-05,8.01745048181818e-05,0.75829233660441,1.24722517532443e-18,4.90288517196502e-18,"Nucleotide metabolism","T2D_enriched",13.125697809314
"P162-PWY: L-glutamate degradation V (via hydroxyglutarate)",4.03272498442368e-06,9.4358388e-06,1.22637526414969,9.10034812810926e-10,1.93311742845551e-09,"Amino acid metabolism","T2D_enriched",10.6863173571577
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",1.82853858722741e-05,3.16439259818182e-05,0.791234199864545,3.13924811754553e-14,8.258637355389e-14,"Nucleotide metabolism","T2D_enriched",10.3517895168489
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",2.08368348286604e-05,3.62715205636364e-05,0.799698135527229,3.18672423915742e-13,7.84071719274703e-13,"Nucleotide metabolism","T2D_enriched",9.68086110445482
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",5.12946058878505e-05,8.27007531090909e-05,0.689092278374369,1.06413892493933e-14,3.0327959360771e-14,"Lipid metabolism","T2D_enriched",9.3152574759918
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",6.61592545794393e-05,0.000100959004854545,0.609753958540873,5.20878145787276e-15,1.60486780053377e-14,"Lipid metabolism","T2D_enriched",8.41128801534184
"TCA: TCA cycle I (prokaryotic)",4.25851230062305e-05,6.43376984545455e-05,0.595313665148081,5.63713741348807e-15,1.72134017447582e-14,"Carbohydrate metabolism","T2D_enriched",8.19397663949282
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I",5.72068966043614e-05,8.68501899636364e-05,0.602339061456478,1.924047183296e-14,5.34978972916449e-14,"Amino acid metabolism","T2D_enriched",7.99404120848254
"PWY66-391: fatty acid &beta;-oxidation VI (peroxisome)",1.87076101246106e-06,4.43465107272727e-06,1.24515074303657,3.15591516994645e-07,5.62147389646712e-07,"Lipid metabolism","T2D_enriched",7.78237866962508
"GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff",5.98605728971963e-05,8.17763143636364e-05,0.450076310306555,1.89593008948569e-17,6.48408090604105e-17,"Carbohydrate metabolism","T2D_enriched",7.2859035314776
"PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)",1.60190504517134e-06,3.42080274545455e-06,1.09449839838159,6.54658295290992e-07,1.14816993327959e-06,"Lipid metabolism","T2D_enriched",6.50131373337056
"PWY66-400: glycolysis VI (metazoan)",9.60368220093458e-05,0.000128869947272727,0.424255912138311,9.81666780467322e-15,2.82126083125903e-14,"Carbohydrate metabolism","T2D_enriched",5.74847956253263
"PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)",2.28511636292835e-05,3.45595266363636e-05,0.596813685837191,6.91172346395617e-10,1.48667259413397e-09,"Carbohydrate metabolism","T2D_enriched",5.26854270336247
"P164-PWY: purine nucleobases degradation I (anaerobic)",1.43484936292835e-05,2.43199702e-05,0.761238054385294,8.3712565504213e-08,1.57306029683741e-07,"Nucleotide metabolism","T2D_enriched",5.17889631814591
"NAGLIPASYN-PWY: lipid IVA biosynthesis",7.6132027258567e-05,0.000100291263909091,0.397620085623327,3.39705586636785e-11,7.69399408144242e-11,"Lipid metabolism","T2D_enriched",4.02146916822228
"PRPP-PWY: superpathway of histidine, purine, and pyrimidine biosynthesis",5.3867446728972e-05,7.42404498181818e-05,0.462791032449631,9.94714022625717e-09,1.96642887709824e-08,"Nucleotide metabolism","T2D_enriched",3.56641660220761
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",0.000176528703738318,0.000210489052545455,0.253842283190779,6.25998918714321e-15,1.87799675614296e-14,"Carbohydrate metabolism","T2D_enriched",3.48431664215246
"PWY-5484: glycolysis II (from fructose 6-phosphate)",0.000164947270249221,0.000197414947636364,0.259226183791116,3.88359062769325e-14,1.01388396539778e-13,"Carbohydrate metabolism","T2D_enriched",3.36838807686326
"PWY-7209: superpathway of pyrimidine ribonucleosides degradation",1.20194353582555e-06,2.13992161818182e-06,0.832136221812218,6.95361268505113e-05,0.000108590663848744,"Nucleotide metabolism","T2D_enriched",3.29876066142036
"PWY-5690: TCA cycle II (plants and fungi)",2.83996741277259e-05,3.76201678545455e-05,0.405630665247501,3.98315973215253e-09,8.1085751690248e-09,"Carbohydrate metabolism","T2D_enriched",3.28198020591038
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.000307735542523365,0.000364246040545455,0.243222136947077,9.38519680185863e-13,2.26037838467299e-12,"Amino acid metabolism","T2D_enriched",2.83252094826169
"P42-PWY: incomplete reductive TCA cycle",1.57050815264798e-05,2.23132228545455e-05,0.506664754478733,1.82070399881019e-06,3.08257805739151e-06,"Carbohydrate metabolism","T2D_enriched",2.79227299321968
"PWY0-1261: anhydromuropeptides recycling",0.000113344294859813,0.000134469732,0.246569495477196,3.52688415345927e-10,7.68276675466923e-10,"Amino acid metabolism","T2D_enriched",2.24735331496888
"PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)",0.000129510641277259,0.000153509841636364,0.245260334504281,6.47200713393759e-09,1.29440142678752e-08,"Amino acid metabolism","T2D_enriched",1.93459659978082
"PWY66-409: superpathway of purine nucleotide salvage",3.18155235981308e-05,4.33442596363636e-05,0.446108869786762,6.02499951385099e-05,9.4956213536269e-05,"Nucleotide metabolism","T2D_enriched",1.79446249493926
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)",0.000169918673520249,0.000191485575818182,0.172391216793822,1.47130041676786e-07,2.7052943147022e-07,"Lipid metabolism","T2D_enriched",1.1322285305673
"PWY-6595: superpathway of guanosine nucleotides degradation (plants)",2.81019216510903e-06,4.53484149090909e-06,0.690363812970062,0.0217413160333056,0.0270382912123291,"Nucleotide metabolism","T2D_enriched",1.08250478983034
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I",0.000237495179127726,0.000265561867272727,0.161149708246787,1.89363563504195e-07,3.46322666943501e-07,"Nucleotide metabolism","T2D_enriched",1.04111076531437
"PWY-5188: tetrapyrrole biosynthesis I (from glutamate)",7.24577849688474e-05,8.38144421454545e-05,0.210057884354737,8.2089017705583e-06,1.33054237228954e-05,"Amino acid metabolism","T2D_enriched",1.02423621343659
"PWY-6936: seleno-amino acid biosynthesis",0.00017760986635514,0.000200098869636364,0.172001199497708,6.67821934434779e-07,1.16528113049334e-06,"Amino acid metabolism","T2D_enriched",1.02058103450514
"P108-PWY: pyruvate fermentation to propanoate I",2.30442914174455e-05,2.7594754e-05,0.259983584636311,8.75520181904609e-05,0.000135487738557184,"Carbohydrate metabolism","T2D_enriched",1.00564250529908
"PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",0.000226351712616822,0.000251491778727273,0.151944953038652,3.04524624848799e-07,5.45274459153347e-07,"Nucleotide metabolism","T2D_enriched",0.951689716036613
"PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV",4.15369881619938e-05,5.06130606545455e-05,0.285112485806259,0.00171222024325912,0.00243991384664425,"Nucleotide metabolism","T2D_enriched",0.744892153160325
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I",0.000151523953426791,0.000166734150181818,0.1380036599639,1.03420312249782e-05,1.66055149246129e-05,"Nucleotide metabolism","T2D_enriched",0.659622669777749
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I",0.000249155273831776,0.000268026185454545,0.105328802666782,6.06605437591289e-06,9.97399325270293e-06,"Nucleotide metabolism","T2D_enriched",0.526763132827547
"DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II",0.0002351937,0.000252140787272727,0.100380055757356,4.1078652543764e-06,6.78690781157839e-06,"Nucleotide metabolism","T2D_enriched",0.51879705782217
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis",0.00013462987834891,0.000149182997272727,0.148084391024059,0.00032618504976331,0.000495801275640232,"Nucleotide metabolism","T2D_enriched",0.489373355678598
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II",0.000225849726479751,0.000244573301272727,0.114903705875864,3.77333154164269e-05,5.97444160760092e-05,"Nucleotide metabolism","T2D_enriched",0.485319090355386
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II",0.000225849726479751,0.000244573301272727,0.114903705875864,3.77333154164269e-05,5.97444160760092e-05,"Nucleotide metabolism","T2D_enriched",0.485319090355386
"BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis",0.000368877161993769,0.000391221578181818,0.0848454519673886,1.13384098588077e-06,1.94861114156394e-06,"Amino acid metabolism","T2D_enriched",0.484490847843453
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I",0.000324402183956386,0.000341667058181818,0.074807602434266,2.72845272098502e-07,4.93720016178242e-07,"Nucleotide metabolism","T2D_enriched",0.471775585953748
"PWY-7208: superpathway of pyrimidine nucleobases salvage",0.000174370001557632,0.000188996094909091,0.116204499714592,8.12789660416987e-05,0.000126351847210277,"Nucleotide metabolism","T2D_enriched",0.453013760372733
"PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",0.000290373131775701,0.000306698521454545,0.0789132182235942,1.62568668712869e-06,2.76609376615926e-06,"Nucleotide metabolism","T2D_enriched",0.438610170400862
"PWY0-1296: purine ribonucleosides degradation",0.000242541684735202,0.000226706283090909,-0.0974083022229619,0.00201619306568173,0.00283760505540392,"Nucleotide metabolism","Control_enriched",0.248103626309471
"PWY-7197: pyrimidine deoxyribonucleotide phosphorylation",0.000102478251713396,0.000109678519454545,0.0979631405469738,0.00256328825728691,0.00356359586988668,"Nucleotide metabolism","T2D_enriched",0.239824696148287
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)",0.000174682597352025,0.000185301423272727,0.0851380274119178,0.00170173385435073,0.00243511706354791,"Nucleotide metabolism","T2D_enriched",0.22250654516879
"PWY-7187: pyrimidine deoxyribonucleotides de novo biosynthesis II",0.000163609843613707,0.000172377455818182,0.0753115098678226,0.0031018855845873,0.00426042116437292,"Nucleotide metabolism","T2D_enriched",0.178529508919175
"PWY-5505: L-glutamate and L-glutamine biosynthesis",4.24658518847352e-05,4.57745736727273e-05,0.10824301240745,0.0179004215024497,0.0225071476244037,"Amino acid metabolism","T2D_enriched",0.178349796947563
"PWY-7111: pyruvate fermentation to isobutanol (engineered)",0.000467839984423676,0.000486085609090909,0.0551952428044163,0.000697976732667702,0.00102011984005279,"Carbohydrate metabolism","T2D_enriched",0.165108223652642
"ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)",0.000298377292834891,0.000311255183272727,0.0609600947789009,0.00765161405510642,0.0100648154109477,"Carbohydrate metabolism","T2D_enriched",0.12174914685078
"COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis",0.000323680140809969,0.00033421252,0.0461969128218082,0.00641456722041547,0.00853611669020269,"Amino acid metabolism","T2D_enriched",0.0955693855698206
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.000408237947040498,0.000419875766363636,0.0405522221116557,0.00781853298669411,0.0102058713032419,"Amino acid metabolism","T2D_enriched",0.0807455535074122
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.000408237947040498,0.000419875766363636,0.0405522221116557,0.00781853298669411,0.0102058713032419,"Amino acid metabolism","T2D_enriched",0.0807455535074122
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.000358192607788162,0.000368161034545455,0.0396013678343299,0.00840544231758236,0.0109302709985292,"Amino acid metabolism","T2D_enriched",0.0776728980111176
