"pathway","log2FC","pvalue","FDR"
"FERMENTATION-PWY: mixed acid fermentation",1.21370105473205,2.99430167414693e-27,2.09086967350886e-25
"PWY0-1415: superpathway of heme biosynthesis from uroporphyrinogen-III",1.50721827880712,3.08757865954239e-27,2.09086967350886e-25
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)",1.38960217699008,3.21223307485982e-27,2.10936638582461e-25
"PWY-5918: superpathay of heme biosynthesis from glutamate",1.58950125937831,3.8498337005329e-27,2.45370283207494e-25
"PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)",1.00552966463901,4.11402891687387e-27,2.54717161796162e-25
"PWY-5723: Rubisco shunt",1.61370830609638,5.3573338164019e-27,3.22481732781748e-25
"PWY-6628: superpathway of L-phenylalanine biosynthesis",1.20920797833807,6.66032163680126e-27,3.9007883748509e-25
"PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Escherichia.s__Escherichia_coli",1.85458859126548,6.79626412706564e-26,3.87565904298717e-24
"NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)|g__Escherichia.s__Escherichia_coli",1.89087726691791,1.13852560703596e-25,6.3261153601203e-24
"PWY-5897: superpathway of menaquinol-11 biosynthesis",1.40016798951883,1.72596561151982e-25,8.90516066705583e-24
"PWY-5898: superpathway of menaquinol-12 biosynthesis",1.40016798951883,1.72596561151982e-25,8.90516066705583e-24
"PWY-5899: superpathway of menaquinol-13 biosynthesis",1.40016798951883,1.72596561151982e-25,8.90516066705583e-24
"PWY0-781: aspartate superpathway",1.33275876913986,1.77640625553396e-25,8.95226129242349e-24
"PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)",1.38928160113316,2.2934830214324e-25,1.09576360477206e-23
"PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I",1.38928160113316,2.2934830214324e-25,1.09576360477206e-23
"PWY-5675: nitrate reduction V (assimilatory)|unclassified",1.31645722120561,2.32603257127433e-25,1.09576360477206e-23
"P4-PWY: superpathway of L-lysine, L-threonine and L-methionine biosynthesis I",1.30367790548123,3.05680472157427e-25,1.40938209184073e-23
"PWY-5838: superpathway of menaquinol-8 biosynthesis I",1.41565718177763,4.82167587500484e-25,2.17678575440323e-23
"FERMENTATION-PWY: mixed acid fermentation|unclassified",1.23214211175978,5.33378686195482e-25,2.35884002650124e-23
"PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis",1.42828127624015,5.44492069436988e-25,2.35982862893991e-23
"PWY-6629: superpathway of L-tryptophan biosynthesis",1.71027124673663,6.42302777732599e-25,2.72915709675793e-23
"PWY-5845: superpathway of menaquinol-9 biosynthesis",1.61171528102727,8.46254864078789e-25,3.46006469897875e-23
"PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis",1.59910240563185,8.40585745099866e-25,3.46006469897875e-23
"PWY-5863: superpathway of phylloquinol biosynthesis",1.33591222638502,9.35784502253351e-25,3.75526854885743e-23
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I|unclassified",0.849265227571551,1.06208289333942e-24,4.18460659975731e-23
"PWY-5971: palmitate biosynthesis II (bacteria and plants)",1.95493754847463,1.15602518374578e-24,4.4734045949591e-23
"PWY-7663: gondoate biosynthesis (anaerobic)|g__Escherichia.s__Escherichia_coli",1.84777337552121,1.63260051424291e-24,6.20674616555155e-23
"PWY-6113: superpathway of mycolate biosynthesis",1.93703659444234,1.75235465964439e-24,6.54715956456793e-23
"PWY-5173: superpathway of acetyl-CoA biosynthesis|unclassified",0.969833160536454,1.97749812406253e-24,7.26311599126017e-23
"HOMOSER-METSYN-PWY: L-methionine biosynthesis I|unclassified",0.853526812601201,2.43136862886292e-24,8.78129303124324e-23
"SO4ASSIM-PWY: sulfate reduction I (assimilatory)|unclassified",0.881675858640974,3.58688078813536e-24,1.27422469965399e-22
"PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)",1.72597796455471,4.45323045562941e-24,1.55647587054015e-22
"GALACTARDEG-PWY: D-galactarate degradation I",1.4772102343727,7.06219973050142e-24,2.39121668999946e-22
"GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation",1.4772102343727,7.06219973050142e-24,2.39121668999946e-22
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis|unclassified",0.986307001582228,3.52253657581245e-23,1.17435950150547e-21
"PWY-5367: petroselinate biosynthesis",1.41155877612677,4.12555464920289e-23,1.35455710982162e-21
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)|unclassified",0.88345178822836,5.89267459147373e-23,1.90588445369009e-21
"ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis",0.65802679471599,1.14406122557599e-22,3.59301547220749e-21
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)|unclassified",0.899016656476651,1.13599778086731e-22,3.59301547220749e-21
"PYRIDNUCSAL-PWY: NAD salvage pathway I",1.28294144426186,1.17638648832272e-22,3.64175645742189e-21
"PWY-5083: NAD/NADH phosphorylation and dephosphorylation|unclassified",0.915686517460551,1.62232115554739e-22,4.95150696348056e-21
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis|unclassified",0.853348186178543,3.16191838518071e-22,9.51649602873138e-21
"METSYN-PWY: L-homoserine and L-methionine biosynthesis|unclassified",0.842836494617099,5.19570300367945e-22,1.54234087794156e-20
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type|unclassified",0.994220834104537,5.46197125274894e-22,1.59947185198742e-20
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)",0.953592090363044,8.99280893962791e-22,2.59832226295649e-20
"PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)|unclassified",1.0113428013434,1.55761736436037e-21,4.44125898495912e-20
"PWY-6803: phosphatidylcholine acyl editing|g__Escherichia.s__Escherichia_coli",1.5250490456914,1.61288756563597e-21,4.53912643471836e-20
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation|unclassified",1.0109494464193,1.89386529411437e-21,5.26154627223824e-20
"PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)|unclassified",0.844819923743461,2.4074924395317e-21,6.60384318539899e-20
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II",0.959702051452311,2.77613642751713e-21,7.49551077654828e-20
"PWY-5747: 2-methylcitrate cycle II",1.32314316260976,2.80173683848828e-21,7.49551077654828e-20
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type",1.04394993987872,3.39037395096044e-21,8.95968335576985e-20
"PHOSLIPSYN-PWY: superpathway of phospholipid biosynthesis I (bacteria)|unclassified",0.819207626686781,3.59759369353624e-21,9.38864892254542e-20
"PWY-5189: tetrapyrrole biosynthesis II (from glycine)",1.23463842922464,3.63934706734571e-21,9.38864892254542e-20
"PWY-5384: sucrose degradation IV (sucrose phosphorylase)|unclassified",0.893404725622195,5.13614861428636e-21,1.29419000548355e-19
"HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)",1.24503558733891,5.0939881873542e-21,1.29419000548355e-19
"SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis|unclassified",0.89626087248399,7.31627021516299e-21,1.8223399489952e-19
"PWY-6630: superpathway of L-tyrosine biosynthesis",1.05301505932078,2.49364719713092e-20,6.14060622293488e-19
"POLYAMSYN-PWY: superpathway of polyamine biosynthesis I",0.656819568637918,2.62138144868206e-20,6.38262202167868e-19
"PWY-4041: &gamma;-glutamyl cycle|unclassified",0.808847191920126,2.73637580445665e-20,6.58858485361952e-19
"DAPLYSINESYN-PWY: L-lysine biosynthesis I",1.05336158442609,2.88714655895385e-20,6.87521603654175e-19
"PWY-5177: glutaryl-CoA degradation|unclassified",0.842012478880113,6.22665146812601e-20,1.46664714472055e-18
"GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff|unclassified",0.941137026981293,6.78257319435481e-20,1.58041248517923e-18
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type|unclassified",0.96759350705666,7.58734249179919e-20,1.74912459358817e-18
"FAO-PWY: fatty acid &beta;-oxidation I|unclassified",0.827964058120358,8.55454835306646e-20,1.95133750327316e-18
"PWY-5022: 4-aminobutanoate degradation V",1.0346691156143,1.16684081612691e-19,2.63390005056982e-18
"PWY-7046: 4-coumarate degradation (anaerobic)",1.23803710647548,1.31506866019009e-19,2.93789050168241e-18
"PWY-5840: superpathway of menaquinol-7 biosynthesis",1.50722976812104,1.62254268872124e-19,3.58780612903972e-18
"TCA: TCA cycle I (prokaryotic)|unclassified",0.779181724484248,2.61022605271323e-19,5.71349480427228e-18
"PWY-5083: NAD/NADH phosphorylation and dephosphorylation",0.9700673312641,2.88563288366139e-19,6.25316645889423e-18
"PWY-6353: purine nucleotides degradation II (aerobic)",0.79833839541608,2.95286664985288e-19,6.33550696062495e-18
"PWY-6606: guanosine nucleotides degradation II",0.861264263989554,3.42630647178088e-19,7.20854963529044e-18
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II|unclassified",0.677057262729951,3.41994899575352e-19,7.20854963529044e-18
"PWY-5136: fatty acid &beta;-oxidation II (peroxisome)|unclassified",0.739493113560957,4.96910886773124e-19,1.03539028042054e-17
"PWY-6612: superpathway of tetrahydrofolate biosynthesis",1.32059247063389,6.4422758729332e-19,1.32956303015679e-17
"FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage",1.37526185722998,6.62363275409909e-19,1.35409548850309e-17
"HEMESYN2-PWY: heme biosynthesis II (anaerobic)",0.939589388234416,1.20500293691026e-18,2.44041248998554e-17
"PWY-6608: guanosine nucleotides degradation III",0.746055966558019,1.24722517532443e-18,2.50253421752597e-17
"PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I|unclassified",0.841728658610112,1.86421312028761e-18,3.70619250611307e-17
"PWY-6901: superpathway of glucose and xylose degradation",0.450589441574011,2.11182891629506e-18,4.16030296510127e-17
"PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified",0.872568143716289,2.56314200680161e-18,5.0038997556208e-17
"PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis|unclassified",0.881269627645691,3.58440042952294e-18,6.93517475962161e-17
"PWY-6549: L-glutamine biosynthesis III",0.809027817579107,4.119581359516e-18,7.90011752749661e-17
"GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation",1.11151086959533,4.78080547698868e-18,9.00870040750824e-17
"PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)",0.721761274753069,4.74019232144996e-18,9.00870040750824e-17
"PWY-6353: purine nucleotides degradation II (aerobic)|unclassified",0.808790781795793,4.93981955151607e-18,9.2280939380477e-17
"METSYN-PWY: L-homoserine and L-methionine biosynthesis",0.722312893937055,7.62272436338561e-18,1.41183279448347e-16
"PWY0-862: (5Z)-dodec-5-enoate biosynthesis|unclassified",0.822867970298379,8.04012035222873e-18,1.4765204070576e-16
"HOMOSER-METSYN-PWY: L-methionine biosynthesis I",0.759882412156337,8.16466494361347e-18,1.48679234729499e-16
"MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis",0.702440514111112,9.15361742109256e-18,1.65299074595896e-16
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified",0.616538284771483,9.36903050875919e-18,1.67790819111415e-16
"DAPLYSINESYN-PWY: L-lysine biosynthesis I|unclassified",0.790771963598267,1.47639358594298e-17,2.62241385306429e-16
"METHGLYUT-PWY: superpathway of methylglyoxal degradation",0.955763443426377,1.52584268702335e-17,2.6882122786826e-16
"GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff",0.443710099237204,1.89593008948569e-17,3.3132907289641e-16
"GLUDEG-I-PWY: GABA shunt",0.881304470650983,2.68978739790685e-17,4.66301543301132e-16
"HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)|unclassified",0.949214836638963,3.91061972951688e-17,6.72564520147864e-16
"GLUCONEO-PWY: gluconeogenesis I",0.348075979701682,4.5893805924908e-17,7.83085649128154e-16
"FASYN-ELONG-PWY: fatty acid elongation -- saturated|unclassified",0.811660303359863,7.2380906868234e-17,1.2253861342458e-15
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|unclassified",0.811846151404577,8.95500034538217e-17,1.50430122080955e-15
"PWY-6608: guanosine nucleotides degradation III|unclassified",0.553941339734878,1.10123717415434e-16,1.83567765876343e-15
"PWY-7664: oleate biosynthesis IV (anaerobic)|unclassified",0.81216899204903,1.12695884055808e-16,1.86421359350332e-15
"PWY-6531: mannitol cycle",1.11806013705152,1.99320150698714e-16,3.27217247397056e-15
"PWY66-389: phytol degradation|unclassified",0.318787639260642,3.88831724309852e-16,6.3353259141312e-15
"PWY66-389: phytol degradation",0.748252151972043,5.03506123256499e-16,8.14252066490174e-15
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I|unclassified",0.872278382099738,1.11827482977024e-15,1.79503818971267e-14
"PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation",1.09420072610213,1.98171739153095e-15,3.15763352018204e-14
"PWY-5384: sucrose degradation IV (sucrose phosphorylase)",0.835379403321105,2.30212380213505e-15,3.64138852498296e-14
"PWY-2723: trehalose degradation V|unclassified",0.773127648924618,3.24534529939766e-15,5.09613279985125e-14
"PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis",0.491848307228713,4.56896324706998e-15,7.12298083194291e-14
"FASYN-ELONG-PWY: fatty acid elongation -- saturated",0.602331074901423,5.20878145787276e-15,8.0624495851502e-14
"TCA: TCA cycle I (prokaryotic)",0.58407985503009,5.63713741348807e-15,8.66360054966571e-14
"GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)",0.252530680349112,6.25998918714321e-15,9.55309617502771e-14
"PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)|unclassified",0.700165408016421,6.80288562034777e-15,1.03089882092962e-13
"PWY-5989: stearate biosynthesis II (bacteria and plants)",0.635282204509289,7.40911239656841e-15,1.1149685113447e-13
"PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)",0.649105369026667,8.11556699536561e-15,1.2128574951005e-13
"PWY-7664: oleate biosynthesis IV (anaerobic)",0.624675297371434,8.60059281479174e-15,1.27654004312697e-13
"PWY66-400: glycolysis VI (metazoan)",0.420463413083407,9.81666780467322e-15,1.44712375052564e-13
"GLYCOCAT-PWY: glycogen degradation I (bacterial)|unclassified",0.799812199459779,1.05170578066407e-14,1.53989623425611e-13
"FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)",0.678578461419869,1.06413892493933e-14,1.54764365794868e-13
"PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)",0.656488476848042,1.7359261965739e-14,2.50783471198376e-13
"PWY0-862: (5Z)-dodec-5-enoate biosynthesis",0.6343821354735,1.82876596424442e-14,2.62446082418388e-13
"PWY-6519: 8-amino-7-oxononanoate biosynthesis I",0.593855305864526,1.924047183296e-14,2.74303305671213e-13
"PWYG-321: mycolate biosynthesis|unclassified",1.02072434229359,1.94106147153755e-14,2.74920275086397e-13
"COLANSYN-PWY: colanic acid building blocks biosynthesis|unclassified",0.662479821506902,2.11839382704277e-14,2.98088274233875e-13
"BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I",0.557197876394832,2.30014050637765e-14,3.21574482407765e-13
"PWY0-1298: superpathway of pyrimidine deoxyribonucleosides degradation",0.759306563650947,3.13924811754553e-14,4.36073760943664e-13
"NAGLIPASYN-PWY: lipid IVA biosynthesis|unclassified",0.699189225499303,3.38802569631216e-14,4.67633865217099e-13
"PWY-5484: glycolysis II (from fructose 6-phosphate)",0.2577958175971,3.88359062769325e-14,5.32641828494385e-13
"PWYG-321: mycolate biosynthesis",0.626416229280336,4.73367080452262e-14,6.45148719081793e-13
"PWY-6606: guanosine nucleotides degradation II|unclassified",0.634564270554374,8.4526423002304e-14,1.14480474153745e-12
"PENTOSE-P-PWY: pentose phosphate pathway|unclassified",0.693678550317539,9.01285792195757e-14,1.2130970880051e-12
"P461-PWY: hexitol fermentation to lactate, formate, ethanol and acetate|unclassified",0.626392005353943,1.22362238742952e-13,1.63678377380233e-12
"PWY-5676: acetyl-CoA fermentation to butanoate II",0.776320845011844,1.27050876423294e-13,1.68907514852317e-12
"FUCCAT-PWY: fucose degradation|unclassified",0.655034979306066,1.39094753067433e-13,1.83791664571419e-12
"PWY0-1261: anhydromuropeptides recycling|unclassified",0.713369919531082,1.75665686172224e-13,2.30707601172854e-12
"FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation",0.683797380679712,1.82752360513909e-13,2.38568894719061e-12
"PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis",0.856662558298999,1.95828981606125e-13,2.54108624635013e-12
"PWY0-1061: superpathway of L-alanine biosynthesis|unclassified",0.689066146958997,2.17266998355753e-13,2.8024856276007e-12
"PWY-5723: Rubisco shunt|unclassified",0.78419084015666,3.02118911321148e-13,3.87391527120075e-12
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation",0.771309919886987,3.18672423915742e-13,4.06213613309066e-12
"PWY-6588: pyruvate fermentation to acetone",1.02534414432195,3.2953207940309e-13,4.17600009395611e-12
"PWY0-1479: tRNA processing|unclassified",0.638858690230907,8.07098666103484e-13,1.01685047060828e-11
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)",0.242497053843537,9.38519680185863e-13,1.17559083639466e-11
"PENTOSE-P-PWY: pentose phosphate pathway",0.342744220555298,1.09400159704328e-12,1.36247210390391e-11
"DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.390137070333731,1.64766393183981e-12,2.04027870874107e-11
"UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.368086209398829,1.68979919348418e-12,2.08056525697739e-11
"UNMAPPED",-0.182853840023734,2.92025550742071e-12,3.57525066925463e-11
"PWY-6549: L-glutamine biosynthesis III|unclassified",0.682624120734069,4.97645773921154e-12,6.05841793307383e-11
"PWY-7013: L-1,2-propanediol degradation",1.07433459258365,7.05471838542546e-12,8.54054454816590e-11
"FUCCAT-PWY: fucose degradation",0.719457720950786,1.12416723400765e-11,1.35337244227476e-10
"PWY-2723: trehalose degradation V",0.826848380925896,1.22877098908141e-11,1.47113079190022e-10
"ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.395812730471947,1.33930864760727e-11,1.59466035129943e-10
"UNINTEGRATED",0.0873156321846601,1.53332242323294e-11,1.80582048431836e-10
"POLYAMINSYN3-PWY: superpathway of polyamine biosynthesis II",0.595124623804833,1.53301888561327e-11,1.80582048431836e-10
"PWY-7111: pyruvate fermentation to isobutanol (engineered)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.370893876333315,2.07542819220215e-11,2.43105561756868e-10
"GLYCOCAT-PWY: glycogen degradation I (bacterial)",0.819182528399422,2.29049738246294e-11,2.66855259558989e-10
"PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.373549327791133,2.58527287889044e-11,2.99587504200833e-10
"VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.381825508054055,3.39008571074981e-11,3.89493124995722e-10
"NAGLIPASYN-PWY: lipid IVA biosynthesis",0.393107816243338,3.39705586636785e-11,3.89493124995722e-10
"PWY-6703: preQ0 biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.534347852920651,5.1970841515337e-11,5.92741124019659e-10
"PWY-4041: &gamma;-glutamyl cycle",0.607002211029778,6.48992389071865e-11,7.363175429941e-10
"PWY-6731: starch degradation III",0.76085706040189,7.96837988160855e-11,8.99347875179465e-10
"P42-PWY: incomplete reductive TCA cycle|unclassified",0.586723419696522,1.09771890262703e-10,1.23251650880454e-09
"PWY-6124: inosine-5'-phosphate biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.417028112435291,1.31808709182518e-10,1.47231687009545e-09
"PWY-6305: putrescine biosynthesis IV|unclassified",0.566264188795276,1.69883518667846e-10,1.88788505104216e-09
"PWY-1269: CMP-3-deoxy-D-manno-octulosonate biosynthesis I",0.251347406687047,1.91724157381807e-10,2.11972576044069e-09
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parabacteroides.s__Parabacteroides_distasonis",0.505369280055872,1.96702391344692e-10,2.15279839416135e-09
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.505369280055872,1.96702391344692e-10,2.15279839416135e-09
"PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.36440219777707,2.14338002326001e-10,2.32235225520223e-09
"PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.36440219777707,2.14338002326001e-10,2.32235225520223e-09
"SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I",0.184320560275897,2.42993188180496e-10,2.61973253127928e-09
"HISDEG-PWY: L-histidine degradation I|g__Parabacteroides.s__Parabacteroides_distasonis",0.49296046803615,2.47963323998876e-10,2.64697794633283e-09
"PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.447978511575636,2.47216843229549e-10,2.64697794633283e-09
"PWY-5177: glutaryl-CoA degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.357839290789473,2.63082205322296e-10,2.79460362222263e-09
"GALACTUROCAT-PWY: D-galacturonate degradation I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.448548455786473,2.81254952408718e-10,2.97307064326679e-09
"PWY0-1261: anhydromuropeptides recycling",0.244586161115512,3.52688415345927e-10,3.71007667987681e-09
"TRNA-CHARGING-PWY: tRNA charging|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.374989037040913,3.75117811313671e-10,3.92695795708563e-09
"GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation",0.336523363138765,4.57837873604793e-10,4.76987823125763e-09
"PWY-7242: D-fructuronate degradation|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.435903674427736,6.78794142973649e-10,7.03802348241099e-09
"PWY-6969: TCA cycle V (2-oxoglutarate:ferredoxin oxidoreductase)",0.576176466467344,6.91172346395617e-10,7.13224035542525e-09
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage",0.343530774077603,7.35814835176539e-10,7.55692297548606e-09
"PWY-5686: UMP biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.504560525393581,7.57593396566118e-10,7.74389099225839e-09
"PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.372512456134424,8.01374884624548e-10,8.15295481211923e-09
"ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis|g__Parabacteroides.s__Parabacteroides_distasonis",0.475385872153679,8.26006997621572e-10,8.36428581236424e-09
"PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Parabacteroides.s__Parabacteroides_distasonis",0.523473548613415,8.50062183711881e-10,8.56783605629603e-09
"CITRULBIO-PWY: L-citrulline biosynthesis|unclassified",0.453157796447677,1.02460021310142e-09,1.02792067675499e-08
"PWY-1042: glycolysis IV (plant cytosol)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.370043357949145,1.28908692868255e-09,1.28730478085488e-08
