"Species","Pathway","rho","p","FDR"
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","SO4ASSIM.PWY..sulfate.reduction.I..assimilatory.",0.639302721372698,1.63140593625091e-110,4.50391629764057e-109
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5723..Rubisco.shunt",0.785775544719415,1.98584124283131e-200,8.76126229676256e-199
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5173..superpathway.of.acetyl.CoA.biosynthesis",0.74950716274388,2.24168972098139e-172,8.04051740275628e-171
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","P161.PWY..acetylene.degradation",0.690719715478316,6.67565404763002e-136,2.03066932223483e-134
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass",0.855496502815332,8.73705884947885e-274,7.54492650693622e-272
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","KETOGLUCONMET.PWY..ketogluconate.metabolism",0.737642378784259,3.16538711503256e-164,1.08211104358364e-162
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLUCARDEG.PWY..D.glucarate.degradation.I",0.770960773054853,2.41021655583231e-188,9.60974964197387e-187
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","SULFATE.CYS.PWY..superpathway.of.sulfate.assimilation.and.cysteine.biosynthesis",0.654757789809668,1.27051750329559e-117,3.57254620795508e-116
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5913..TCA.cycle.VI..obligate.autotrophs..unclassified",0.79748045476865,1.11754567462471e-210,5.34456686019338e-209
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7663..gondoate.biosynthesis..anaerobic..g__Escherichia.s__Escherichia_coli",0.79791984811824,4.47083176531415e-211,2.14376383146813e-209
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation",0.597427335782977,3.64689121274966e-93,9.57492864373366e-92
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY4LZ.257..superpathway.of.fermentation..Chlamydomonas.reinhardtii.",0.680055746153554,3.30327090487825e-130,9.75508900450349e-129
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type",0.551893313131523,5.44044660951857e-77,1.35981313679064e-75
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FERMENTATION.PWY..mixed.acid.fermentation",0.683240820199855,6.97776383538602e-132,2.08088109401913e-130
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","P461.PWY..hexitol.fermentation.to.lactate..formate..ethanol.and.acetate",0.742146972065535,2.87865855745553e-167,9.99086430007565e-166
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.821..superpathway.of.sulfur.amino.acid.biosynthesis..Saccharomyces.cerevisiae.",0.719986111607758,6.91608773551073e-153,2.23436231611243e-151
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5791..1.4.dihydroxy.2.naphthoate.biosynthesis.II..plants.",0.673408439027926,8.85974405759532e-127,2.57880825037451e-125
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5837..1.4.dihydroxy.2.naphthoate.biosynthesis.I",0.673408439027926,8.85974405759532e-127,2.57880825037451e-125
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GALACTARDEG.PWY..D.galactarate.degradation.I",0.710551383843596,3.52397892671334e-147,1.11476423652159e-145
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLUCARGALACTSUPER.PWY..superpathway.of.D.glucarate.and.D.galactarate.degradation",0.710551383843596,3.52397892671334e-147,1.11476423652159e-145
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLUDEG.I.PWY..GABA.shunt",0.439946241846014,2.46196190008623e-46,5.30253047062307e-45
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","METHGLYUT.PWY..superpathway.of.methylglyoxal.degradation",0.53925614437562,6.25210395210743e-73,1.53530439503166e-71
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5345..superpathway.of.L.methionine.biosynthesis..by.sulfhydrylation.",0.635323480502561,9.48959470964861e-109,2.61193210278712e-107
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.1415..superpathway.of.heme.biosynthesis.from.uroporphyrinogen.III",0.765222990569195,6.60763246684415e-184,2.567114524059e-182
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5863..superpathway.of.phylloquinol.biosynthesis",0.66317282381963,1.13343776158815e-121,3.22189851074847e-120
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6803..phosphatidylcholine.acyl.editing.g__Escherichia.s__Escherichia_coli",0.793245094272515,6.81771000611675e-207,3.144949215733e-205
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5747..2.methylcitrate.cycle.II",0.770411133326089,6.49806100693131e-188,2.58517837570514e-186
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5861..superpathway.of.demethylmenaquinol.8.biosynthesis",0.66871771037708,2.0567371713846e-124,5.9203488151341e-123
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5897..superpathway.of.menaquinol.11.biosynthesis",0.673225145398706,1.09821165681223e-126,3.18132187579898e-125
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5898..superpathway.of.menaquinol.12.biosynthesis",0.673225145398706,1.09821165681223e-126,3.18132187579898e-125
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5899..superpathway.of.menaquinol.13.biosynthesis",0.673225145398706,1.09821165681223e-126,3.18132187579898e-125
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","P441.PWY..superpathway.of.N.acetylneuraminate.degradation",0.684672426108644,1.21265920232015e-132,3.63418804695321e-131
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5656..mannosylglycerate.biosynthesis.I",0.726325651343818,7.42870324310219e-157,2.44771070149304e-155
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6629..superpathway.of.L.tryptophan.biosynthesis",0.732211176440561,1.2154681307924e-160,4.0937236249849e-159
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5173..superpathway.of.acetyl.CoA.biosynthesis.unclassified",0.750915462555713,2.2526585982577e-173,8.16017739937446e-172
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5838..superpathway.of.menaquinol.8.biosynthesis.I",0.668951202618831,1.57196705666464e-124,4.5320904651086e-123
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6628..superpathway.of.L.phenylalanine.biosynthesis",0.698958880907641,1.78715711447422e-140,5.5192864038703e-139
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation.unclassified",0.714858994086929,9.3358164882417e-150,2.97391454951489e-148
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5083..NAD.NADH.phosphorylation.and.dephosphorylation",0.591845234125383,4.83757404839878e-91,1.26282860653115e-89
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","P4.PWY..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.I",0.656873456459196,1.25348695427539e-118,3.53010599595855e-117
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PYRIDNUCSAL.PWY..NAD.salvage.pathway.I",0.598558467382841,1.33871158864996e-93,3.51986491439985e-92
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5189..tetrapyrrole.biosynthesis.II..from.glycine.",0.653354978212883,5.84070181749971e-117,1.63980628376983e-115
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.781..aspartate.superpathway",0.658968875626599,1.24116033327708e-119,3.5062298345181e-118
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","HEME.BIOSYNTHESIS.II..heme.biosynthesis.I..aerobic.",0.658334437048998,2.50468682666853e-119,7.06469019639742e-118
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5138..unsaturated..even.numbered.fatty.acid..beta..oxidation",0.492916209819228,1.98830281563732e-59,4.60341367264645e-58
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Escherichia.s__Escherichia_coli",0.830105551405387,3.19819704976266e-243,1.99569686451114e-241
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5918..superpathay.of.heme.biosynthesis.from.glutamate",0.763534660761687,1.26406043662966e-182,4.86943873484758e-181
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5022..4.aminobutanoate.degradation.V",0.566350711016376,7.44818038470216e-82,1.8980880390162e-80
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.561..superpathway.of.glyoxylate.cycle.and.fatty.acid.degradation",0.80441331233332,4.49790804251687e-217,2.25775158244352e-215
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","DAPLYSINESYN.PWY..L.lysine.biosynthesis.I",0.54960103395649,3.05546828216682e-76,7.61609953069244e-75
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7254..TCA.cycle.VII..acetate.producers.",0.773211922303775,4.02966368446814e-190,1.62803773824155e-188
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",0.134488489352486,3.14025530086171e-05,0.000100231409998518
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5675..nitrate.reduction.V..assimilatory..unclassified",0.762484361074698,7.82905592525411e-182,2.98437715510576e-180
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5367..petroselinate.biosynthesis",0.594486771995098,4.84524346094957e-92,1.26846524571785e-90
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","HEMESYN2.PWY..heme.biosynthesis.II..anaerobic.",0.578082153999814,5.55756444103444e-86,1.42827054555837e-84
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6549..L.glutamine.biosynthesis.III",0.477743598830667,1.93462930695602e-55,4.38989795791353e-54
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","P105.PWY..TCA.cycle.IV..2.oxoglutarate.decarboxylase.",0.806190333896646,9.3816861462042e-219,4.7883390271705e-217
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6284..superpathway.of.unsaturated.fatty.acids.biosynthesis..E..coli.",0.621964169742053,5.20275257028861e-103,1.4044348827145e-101
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.",0.480476860761876,3.82720216072025e-56,8.74974285702429e-55
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli..unclassified",0.669280873365072,1.0750822982281e-124,3.10444921648401e-123
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast..unclassified",0.668532982625687,2.54365798374969e-124,7.3104088520352e-123
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.",0.530799385302386,2.62049155977449e-70,6.34946498811848e-69
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLYOXYLATE.BYPASS..glyoxylate.cycle.unclassified",0.739600765222376,1.53463166683136e-165,5.27594784930835e-164
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase..unclassified",0.613518342496999,1.5966546199907e-99,4.27832997512508e-98
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.",0.528066497749803,1.77851822473931e-69,4.26961535875823e-68
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Parabacteroides.s__Parabacteroides_distasonis",0.125677872982684,0.000101049258447285,0.00029568307984069
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7664..oleate.biosynthesis.IV..anaerobic.",0.529456096757278,6.73169342814875e-70,1.62676639196682e-68
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis",0.518134152949973,1.62004973153593e-66,3.83362677380729e-65
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I.unclassified",0.646865103363976,6.1077840898821e-114,1.70428688976634e-112
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.31683685971305,1.21596803411465e-23,1.5290651172949e-22
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6630..superpathway.of.L.tyrosine.biosynthesis",0.684154360718371,2.28698411254458e-132,6.84255131603855e-131
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","HOMOSER.METSYN.PWY..L.methionine.biosynthesis.I",0.522085143400448,1.10666395639341e-67,2.64279475091013e-66
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6531..mannitol.cycle",0.627458841597666,2.45306758477221e-105,6.67124544210961e-104
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.1061..superpathway.of.L.alanine.biosynthesis.unclassified",0.469586875541617,2.2344731110086e-53,5.02026320045471e-52
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast.",0.528050622478304,1.79832143972145e-69,4.31147565173216e-68
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","SO4ASSIM.PWY..sulfate.reduction.I..assimilatory..unclassified",0.587070046743708,2.93656702173487e-89,7.61126425363174e-88
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.862...5Z..dodec.5.enoate.biosynthesis",0.531277380511521,1.87126567109697e-70,4.54012407364287e-69
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Lachnospira.s__Lachnospira_pectinoschiza",-0.079917347519962,0.013643465823746,0.025591681158583
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",-0.079917347519962,0.013643465823746,0.025591681158583
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FERMENTATION.PWY..mixed.acid.fermentation.unclassified",0.737952105068033,1.96486503855057e-164,6.72966275703569e-163
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5840..superpathway.of.menaquinol.7.biosynthesis",0.594173998019085,6.36977319095471e-92,1.66518848367842e-90
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.4041...gamma..glutamyl.cycle.unclassified",0.608245242163314,2.12434663279048e-97,5.65076204322266e-96
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6703..preQ0.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",0.152591009985815,2.24900144610945e-06,8.50717362457138e-06
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5971..palmitate.biosynthesis.II..bacteria.and.plants.",0.633533440020918,5.78958641017376e-108,1.58873575270747e-106
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6519..8.amino.7.oxononanoate.biosynthesis.I",0.52438916986753,2.27625506534333e-68,5.44299784063266e-67
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY66.389..phytol.degradation.unclassified",0.507480801623959,1.89165554489496e-63,4.40765417947968e-62
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.2723..trehalose.degradation.V",0.51341124531324,3.82622038092074e-65,8.984221850613e-64
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II",0.606489955293615,1.06030892749476e-96,2.81221091235547e-95
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWYG.321..mycolate.biosynthesis",0.509026234585352,6.89589279205656e-64,1.61296614331274e-62
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6588..pyruvate.fermentation.to.acetone",0.503957753245622,1.85154306385684e-62,4.30318446001727e-61
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","METSYN.PWY..L.homoserine.and.L.methionine.biosynthesis",0.52087144494806,2.53327841839254e-67,6.018105092768e-66
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.",0.541473381517764,1.24758596869248e-73,3.07608442970849e-72
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis",0.610495092208053,2.66611440936612e-98,7.11263113514788e-97
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.284364638622252,3.62753645803895e-19,3.62972772113826e-18
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5347..superpathway.of.L.methionine.biosynthesis..transsulfuration.",0.521750554963228,1.39095492454789e-67,3.31735467018157e-66
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FOLSYN.PWY..superpathway.of.tetrahydrofolate.biosynthesis.and.salvage",0.610203628133936,3.49184865862908e-98,9.30189684340358e-97
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PYRIDOXSYN.PWY..pyridoxal.5..phosphate.biosynthesis.I.unclassified",0.553896182747771,1.19132991028665e-77,2.98586276414486e-76
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation.unclassified",0.677722044406693,5.40651216883002e-129,1.5889041649718e-127
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II.unclassified",0.547496029657013,1.47297060918626e-75,3.65653916484779e-74
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5103..L.isoleucine.biosynthesis.III.g__Parabacteroides.s__Parabacteroides_distasonis",0.151582314321842,2.62690920403228e-06,9.86092142700292e-06
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PANTO.PWY..phosphopantothenate.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",0.136631532131558,2.33680370644214e-05,7.62926004928907e-05
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","MET.SAM.PWY..superpathway.of.S.adenosyl.L.methionine.biosynthesis",0.521672023885073,1.46758416373859e-67,3.49553608463802e-66
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.1297..superpathway.of.purine.deoxyribonucleosides.degradation",0.567168574298309,3.88760728987229e-82,9.92102134856624e-81
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.331627591594574,7.15012036806227e-26,9.87735733331787e-25
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","VALSYN.PWY..L.valine.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",0.133337703945255,3.67359927448799e-05,0.000115787324650486
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation",0.556272401723809,1.93928383916612e-78,4.88062028086269e-77
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6124..inosine.5..phosphate.biosynthesis.II.g__Parabacteroides.s__Parabacteroides_distasonis",0.13661600495363,2.34184978280128e-05,7.64162695064865e-05
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",0.149187242558101,3.78331840073085e-06,1.39151886515375e-05
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7046..4.coumarate.degradation..anaerobic.",0.612591478026583,3.79720201273144e-99,1.01449879580615e-97
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6113..superpathway.of.mycolate.biosynthesis",0.619592988495255,5.08123043998145e-102,1.36757902284936e-100
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5177..glutaryl.CoA.degradation.unclassified",0.539852416984772,4.05791360565102e-73,9.97830550722905e-72
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I",0.515894403642587,7.30221043416498e-66,1.72349192125544e-64
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Parabacteroides.s__Parabacteroides_distasonis",0.157195313557941,1.09281721290682e-06,4.32216679756353e-06
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","DAPLYSINESYN.PWY..L.lysine.biosynthesis.I.unclassified",0.512704106166262,6.11684592046146e-65,1.43442792170822e-63
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PHOSLIPSYN.PWY..superpathway.of.phospholipid.biosynthesis.I..bacteria..unclassified",0.605388648291175,2.89255544722355e-96,7.66064720986341e-95
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.110844199074427,0.000612289471629159,0.00154651046057041
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","GLYCOCAT.PWY..glycogen.degradation.I..bacterial.",0.508319955496863,1.09434756581355e-63,2.55642397393446e-62
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.6731..starch.degradation.III",0.5068611622732,2.83091956024913e-63,6.58776312992329e-62
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.5973..cis.vaccenate.biosynthesis.g__Parabacteroides.s__Parabacteroides_distasonis",0.143834084327957,8.37824622456306e-06,2.91837171588154e-05
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Parabacteroides.s__Parabacteroides_distasonis",0.140327093998225,1.38925632012303e-05,4.68424119336819e-05
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","NAD.BIOSYNTHESIS.II..NAD.salvage.pathway.II",0.299107734915929,3.96659780936787e-21,4.37502292279007e-20
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","FASYN.ELONG.PWY..fatty.acid.elongation....saturated",0.538335363141351,1.21667850550286e-72,2.98372800118002e-71
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Parabacteroides.s__Parabacteroides_distasonis",0.159279077873203,7.82885952715832e-07,3.15946067429351e-06
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","VALSYN.PWY..L.valine.biosynthesis.g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.122775562786895,0.000146117399837042,0.000416847525040041
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","RHAMCAT.PWY..L.rhamnose.degradation.I.g__Bacteroides.s__Bacteroides_uniformis",0.0814863128699963,0.0118998778982292,0.0226168431400473
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY0.862...5Z..dodec.5.enoate.biosynthesis.unclassified",0.556763379003096,1.33029736389496e-78,3.35260695263209e-77
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.131248220745946,4.86832352340129e-05,0.000150119686782696
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Eubacterium.s__Eubacterium_eligens_CAG_72",-0.109465260097201,0.000716386881274753,0.00178616384287182
"UNINTEGRATED.g__Escherichia.s__Escherichia_coli","ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",-0.306065984761493,4.28950351383889e-22,4.93740009637767e-21
