"Species","Pathway","rho","p","FDR","Pathway_clean"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.1042..glycolysis.IV..plant.cytosol..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.872888083641816,2.53196101925822e-298,2.68225940301768e-296,"PWY 1042  glycolysis IV  plant cytosol "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.845429315947989,5.216309364652e-261,3.84803129284713e-259,"COA PWY 1  coenzyme A biosynthesis II  mammalian "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.7357..thiamin.formation.from.pyrithiamine.and.oxythiamine..yeast..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.79258499041647,2.6038647264213e-206,1.19508864433558e-204,"PWY 7357  thiamin formation from pyrithiamine and oxythiamine  yeast "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","TRNA.CHARGING.PWY..tRNA.charging.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.877879078606004,4.86182325295484e-306,5.40166350561525e-304,"TRNA CHARGING PWY  tRNA charging"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6123..inosine.5..phosphate.biosynthesis.I.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.821439574801445,6.21096574564978e-234,3.55880524690203e-232,"PWY 6123  inosine 5  phosphate biosynthesis I"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.762887561899158,3.89204223490997e-182,1.48672749606488e-180,"PWY 6387  UDP N acetylmuramoyl pentapeptide biosynthesis I  meso diaminopimelate containing "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing..g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.762377086681274,9.42679707796382e-182,3.58592212019997e-180,"PWY 6386  UDP N acetylmuramoyl pentapeptide biosynthesis II  lysine containing "
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.4242..pantothenate.and.coenzyme.A.biosynthesis.III.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.728276237763701,4.23774060414276e-158,1.40904875087747e-156,"PWY 4242  pantothenate and coenzyme A biosynthesis III"
"UNINTEGRATED.g__Faecalibacterium.s__Faecalibacterium_prausnitzii","PWY.5097..L.lysine.biosynthesis.VI.g__Faecalibacterium.s__Faecalibacterium_prausnitzii",0.731588534936841,3.09057880947991e-160,1.03517346484436e-158,"PWY 5097  L lysine biosynthesis VI"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II.g__Lachnospira.s__Lachnospira_pectinoschiza",0.968031435903205,0,0,"PWY 6122  5 aminoimidazole ribonucleotide biosynthesis II"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.968031435903205,0,0,"PWY 6277  superpathway of 5 aminoimidazole ribonucleotide biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I.g__Lachnospira.s__Lachnospira_pectinoschiza",0.938047254218002,0,0,"PWY 6121  5 aminoimidazole ribonucleotide biosynthesis I"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","VALSYN.PWY..L.valine.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.934006967274335,0,0,"VALSYN PWY  L valine biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.7111..pyruvate.fermentation.to.isobutanol..engineered..g__Lachnospira.s__Lachnospira_pectinoschiza",0.934032014420433,0,0,"PWY 7111  pyruvate fermentation to isobutanol  engineered "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","DTDPRHAMSYN.PWY..dTDP.L.rhamnose.biosynthesis.I.g__Lachnospira.s__Lachnospira_pectinoschiza",0.921799388587195,0,0,"DTDPRHAMSYN PWY  dTDP L rhamnose biosynthesis I"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.905230180605569,0,0,"PWY 7221  guanosine ribonucleotides de novo biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","HSERMETANA.PWY..L.methionine.biosynthesis.III.g__Lachnospira.s__Lachnospira_pectinoschiza",0.824033891864097,1.16471965224029e-236,6.84592154305497e-235,"HSERMETANA PWY  L methionine biosynthesis III"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6936..seleno.amino.acid.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.879711874347334,5.85680245181264e-309,6.79724824678205e-307,"PWY 6936  seleno amino acid biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle..g__Lachnospira.s__Lachnospira_pectinoschiza",0.873608871677628,2.03882478066904e-299,2.18526037226885e-297,"ARGSYNBSUB PWY  L arginine biosynthesis II  acetyl cycle "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants..g__Lachnospira.s__Lachnospira_pectinoschiza",0.813962304460976,2.57633265156503e-226,1.3806869777696e-224,"RIBOSYN2 PWY  flavin biosynthesis I  bacteria and plants "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..g__Lachnospira.s__Lachnospira_pectinoschiza",0.823874913272041,1.71638699254021e-236,1.00560409617605e-234,"NONOXIPENT PWY  pentose phosphate pathway  non oxidative branch "
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.5695..urate.biosynthesis.inosine.5..phosphate.degradation.g__Lachnospira.s__Lachnospira_pectinoschiza",0.847529517692532,1.34518296951714e-263,1.01283383832941e-261,"PWY 5695  urate biosynthesis inosine 5  phosphate degradation"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate.g__Lachnospira.s__Lachnospira_pectinoschiza",0.786544189544031,4.41355435013455e-201,1.96144814180004e-199,"PWY 6163  chorismate biosynthesis from 3 dehydroquinate"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","GLUTORN.PWY..L.ornithine.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.858087889731414,3.12594751546382e-277,2.81969750887457e-275,"GLUTORN PWY  L ornithine biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.5686..UMP.biosynthesis.g__Lachnospira.s__Lachnospira_pectinoschiza",0.863058355406816,4.88333457773676e-284,4.61032328191407e-282,"PWY 5686  UMP biosynthesis"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.6151..S.adenosyl.L.methionine.cycle.I.g__Lachnospira.s__Lachnospira_pectinoschiza",0.836737341999185,1.08091327057944e-250,7.03404310829573e-249,"PWY 6151  S adenosyl L methionine cycle I"
"UNINTEGRATED.g__Lachnospira.s__Lachnospira_pectinoschiza","PWY.5667..CDP.diacylglycerol.biosynthesis.I.g__Lachnospira.s__Lachnospira_pectinoschiza",0.799696290850691,1.07568055791895e-212,5.18517868937596e-211,"PWY 5667  CDP diacylglycerol biosynthesis I"
